f,c1,c2
1.140586512362168126e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.050228063814215851e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.566883113823748896e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.683299993359084201e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.352612711590776229e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.638524128783730660e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.433426529739950439e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.867952422381214284e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.096740798895761593e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.654011324591432519e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.899708689955676544e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.317550291954064257e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.693198642220446359e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.547583985797354345e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.151748116663480648e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.283044308378457288e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.881760498064396714e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.623006731245222767e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.954292229711661610e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.300411762596172416e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.971080039163606301e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.614127937934425105e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.518937518347118765e-02,1.000000000000000000e+00,4.000000000000000000e+00
8.352935076258003022e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.391415523789267805e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.106457498534874073e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.771650220438390377e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.916386052248961303e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.094236500080577157e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.128175210856676713e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.458992509976493990e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.343651864559187725e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.539261410271005381e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.289871886664439415e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.475426249286934777e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.448511194558133042e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.331135417711057145e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.127703964514960022e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.820313897944136672e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.798163114122658168e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.035574653605036310e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.072126528677108226e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.982983505080763820e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.087082467830623678e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.371033362539489042e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.681896187200377923e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.728749794802717732e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.260171601305845712e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.028536365769971539e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.299212094362276915e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.129873087673848975e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.196208492267820667e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.062067205234434430e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.467940442837012416e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.932367539992936756e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.770234609191891240e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.795580513784355903e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.056518692938628989e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.715903095229183828e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.274801102894657756e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.062784509564542290e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.121103780460868116e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.513447995003530444e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.949675685373575940e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.205038529720593665e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.546379629367085728e-01,1.000000000000000000e+00,2.000000000000000000e+00
