f,c1,c2
1.012077262175034020e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.450041003031688369e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.995354317008256828e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.495070608106741084e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.014598615662721803e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.167946644372962250e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.077001083082445021e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.598046756813195746e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.471050608044921493e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.438165553638905303e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.577058678119607649e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.481784742308979830e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.478263780131239713e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.594819636274563912e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.677545282953253114e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.950442055379408846e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.147655989948244137e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.696194644449275923e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.176702931750780001e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.446779655275524323e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.518597560907666066e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.305892634990747592e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.886740483969780779e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.311600216235582650e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.754824608579005352e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.210078677964014915e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.109352432846275605e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.264294297169126891e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.046294653940591957e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.893003059569779989e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.683560916187462730e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.415809477065539390e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.246929244825559557e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.165081973751324718e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.536025994519865101e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.225901359431167625e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.960346548948166401e-04,1.000000000000000000e+00,2.000000000000000000e+00
1.816862137424342993e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.903769673723310074e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.025733015730325270e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.381485155186217284e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.263998208120348465e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.187880039128009102e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.324770174109426213e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.450210410350933010e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.194633495645731180e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.143713207021663791e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.265328595088499597e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.843339238471215502e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.837043534882586426e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.331585200857004381e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.797424018690410907e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.698105235756759424e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.320598772341062599e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.247564098983929615e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.601168927787814056e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.615547381189878173e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.149565992318034136e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.352085898807626752e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.223269613326823713e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.190309279858264624e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.100026950251827840e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.681538921570473910e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.318637665680974624e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.337246105205492697e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.390463491342819546e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.949314780635308608e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.145267502076980248e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.168849866845212526e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.381912420941641573e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.316784751805609499e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.049553319492416037e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.822985980542625839e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.351426559854846943e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.033137939061566701e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.985751701337512110e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.848567228010977281e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.917720826753674723e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.709376397246762824e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.912996210390406127e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.617869515746774844e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.505587088493326231e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.255684554333202918e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.900546112386159781e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.480899269993793510e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.792333677150333315e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.870852015480545916e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.117519910408645512e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.158909599249531297e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.054353291284896299e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.184010911980063252e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.443414120823750979e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.142219908121519190e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.226148299901912431e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.413977832370288290e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.288509095553901140e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.514499557281267617e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.932346197417599054e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.315559898594965471e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.168199546075370243e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.165095845735493629e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.111512722288740651e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.775613054686391523e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.098898608276773103e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.172080858127276137e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.702738335410515891e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.082222533524194175e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.889115430449813227e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.817190248855224066e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.097627895562315992e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.163137352936820301e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.076404136605307649e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.994430458538235307e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.055568112258725044e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.038533494383548028e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.646429708528071245e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.479923069890187737e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.453845710039757266e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.048362606236685757e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.563622490300798695e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.825198804873032321e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.632615424823064876e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.302516733266515736e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.853989481083654134e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.340294280873368660e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.093770002042588008e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.071494397165189127e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.550524545487705019e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.073495028009937347e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.745061918830498993e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.166001643820302913e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.356201598076626436e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.016557480032583172e-02,5.000000000000000000e+00,4.000000000000000000e+00
2.856666063998662963e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.121556483290760964e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.972251897052164971e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.448423877926215297e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.447788561766169213e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.328416188670995091e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.922602409876648988e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.263006357416188052e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.642321545682369210e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.600979272848693569e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.014520388769954984e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.354084767900281872e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.324701643132501161e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.332186038317940913e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.806763319174373272e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.923876764953247775e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.498337804614689794e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.231004565576112819e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.299740768384884504e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.892885623319416233e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.590082666211556806e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.659389714783800152e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.018603888679118885e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.970491115509592994e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.986131516106874662e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.467407523984438189e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.128712219295894492e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.111218340498263402e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.608939009033003353e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.365585498023656807e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.906899020279635870e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.516062908773882389e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.071183849734830495e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.731161963218526001e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.700024326480422232e-03,5.000000000000000000e+00,4.000000000000000000e+00
6.913883296700984449e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.322045832480295502e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.555080111081093452e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.542822413721041563e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.286285864458933448e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.615186450128171192e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.855516276274714382e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.615320517735145511e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.195703009220633994e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.990479869565267457e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.645314175606824580e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.980425232937350621e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.247133804961154002e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.682480967301386965e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.033949730172307291e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.793395523484873966e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.811866114776790493e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.995217799731954678e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.461887878021041143e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.105464476685900976e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.082857441259752918e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.324376025708118521e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.764574406996084477e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.301427135824195114e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.050711590708674148e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.574630354564775736e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.314435309285710396e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.335177402718368267e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.391804412767031263e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.156026980365370882e-02,5.000000000000000000e+00,2.000000000000000000e+00
5.531466550516606073e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.858975994716101310e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.200640257991006710e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.718802542546630896e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.958052064481199173e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.400244940080216383e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.992562453443785797e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.211636816466849398e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.107777152399634257e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.950353503404181676e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.608024231021065287e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.307340017673329413e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.628048494970793847e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.533685625313543577e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.030655301811751912e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.908863191005917503e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.292697366564613315e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.123388856768048560e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.195110017504941391e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.292625212908840471e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.837048410506127993e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.624664100251507204e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.231619175359006446e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.242738223689559884e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.275620176284022245e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.059141776809160440e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.564823840932862531e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.731644442572243925e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.614595557274420834e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.467354079743076412e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.600295431720211159e-01,1.000000000000000000e+00,2.000000000000000000e+00
