f,c1,c2
1.311948161215989117e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.360151505132998206e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.775309178468829963e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.584959163229097356e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.062519157835328798e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.017514040003332232e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.517305541555221460e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.410733112044119109e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.149790572666680610e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.891795328238156770e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.998769787093483075e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.057657286794417839e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.436612232292436175e-02,5.000000000000000000e+00,2.000000000000000000e+00
9.221569592746053923e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.552481582839714769e-02,1.000000000000000000e+00,2.000000000000000000e+00
4.296145398496349355e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.578739329206695352e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.030138287275241371e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.434711632740269582e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.354539672807182349e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.725195021627462522e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.463116932679051851e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.085646665449864212e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.043534723931357266e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.395061145795354784e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.028829191619968553e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.715186642445437837e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.832128957455581686e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.608275646517769442e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.755717876804540944e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.569648367497457730e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.803395011361669908e-02,1.000000000000000000e+00,4.000000000000000000e+00
3.373206094016834911e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.714153585607615993e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.039804445346046435e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.177310435695469337e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.228634109299681310e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.619493466963263240e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.369311801757971736e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.304664049117615132e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.218254770999065206e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.248872300339690877e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.400634446222832175e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.157413996467167472e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.287109081139332756e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.663925245012791931e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.847363864845905645e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.805708013919801846e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.652541246509844797e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.297972239877373646e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.241415645861392303e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.818091435071946371e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.166476749041244876e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.917991070419664323e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.771140995668376128e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.910604935883933431e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.385192782621854413e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.256188898665937081e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.022118592291999306e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.188241744436450364e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.260000752389036638e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.982000397230934574e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.316692075585104371e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.447961486055626912e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.898416558233748386e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.392106962150200022e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.009276260864781616e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.465012092684180534e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.808550248386599613e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.072025740079940226e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.534418009836866936e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.217860760355458538e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.369857728051343537e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.509233974851075688e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.555685656177503429e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.402173491325925614e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.911673066808263544e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.372274826772803102e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.681047397327954829e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.624128992462852528e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.927794563230863290e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.024232845165070849e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.310206162011435138e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.877497808931908985e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.288804334832370779e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.242255448284335317e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.226908281485861174e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.964288706057824463e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.904892787724939307e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.650177871145024955e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.106243986256398193e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.118283856433168300e-01,5.000000000000000000e+00,2.000000000000000000e+00
