f,c1,c2
1.978718455371651030e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.322172976911003328e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.601592887888476646e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.113918925756307798e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.895081062759311985e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.509542612615675017e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.286671203447010470e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.171937887043918436e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.680375183982623422e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.219233594629445250e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.621843413528677225e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.034261976075834699e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.761571518561608984e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.308589007226061085e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.241223292778290244e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.841489986248316946e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.584968258544498632e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.767449580632311612e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.865381049770713062e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.895547676676938575e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.628950467348170505e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.766121001825867509e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.113348623884801492e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.138180047526561545e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.142975221897128968e-02,5.000000000000000000e+00,2.000000000000000000e+00
8.617413149004199413e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.578913014359435207e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.914336537277436801e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.023547475906634752e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.236979486207772538e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.358004054777894654e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.887105973530871506e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.437142731772213633e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.475377571318991610e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.573380816926326364e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.535242550044037646e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.651947406523833095e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.074784847944561639e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.533685936926694748e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.398166262597420273e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.112821864762193330e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.461682508004667813e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.800692901420354541e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.744438777645687833e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.604017905080272532e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.211918625078777845e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.580683272755256219e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.522891005283717014e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.179644099751956832e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.862357308575808723e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.109444590295549427e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.761694162844107625e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.419401042960737547e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.229770784654458105e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.773717212467516458e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.705873301693271671e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.228829816561962218e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.327943857789840365e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.904574541377330066e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.710623413347386101e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.731378708323511706e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.949426613926755536e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.117211132204023460e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.314177428797194014e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.810135904318561417e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.030858711189230448e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.741108155229570853e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.709773041371808411e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.809284408936856936e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.199842570127144681e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.827287781270412026e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.906391895929036906e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.478128694054017256e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.068171850399628475e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.996438760312281735e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.237573769486117747e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.391409617538674981e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.191761152320757633e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.664230107235954215e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.217185313373485345e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.480606483606787371e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.222343316518388789e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.922064641741115132e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.216279091219134578e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.971914062734019257e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.043834641457852541e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.184127431738428937e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.820568143786468474e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.993957934435745649e+00,5.000000000000000000e+00,4.000000000000000000e+00
