f,c1,c2
2.330261506684232486e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.374783142313795725e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.442385990841109411e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.054506886830644419e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.763744087584606657e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.728787552612812917e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.798461892915756755e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.293462356200630214e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.837057701263105081e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.396755106477360453e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.723234136715552811e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.259913913597910717e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.018903513683227846e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.317663146777374950e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.586047052706353711e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.445783272085306326e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.189374855598656966e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.568246167484882214e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.155830435611748808e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.131222372036888801e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.287247177992236313e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.244709479002666486e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.314566174960597245e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.602304975232408113e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.247930727768871373e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.077352911843937999e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.189138430037838923e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.310732286680842851e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.617599968200496896e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.143575783868200801e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.215978432767091277e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.272691577831530640e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.082215718155997264e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.186497793691574376e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.593922824329215171e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.558518103107736197e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.908797198080353752e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.833352010659322406e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.703264279860543962e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.190026940239592657e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.294271499779262591e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.628304250355731009e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.027576665943565004e+00,1.000000000000000000e+00,4.000000000000000000e+00
