f,c1,c2
-1.155801095163263570e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.148129381263081950e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.296532022874238965e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.046747181994919451e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.282791205328630557e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.367862901493816841e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.773741571367470238e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.944726782608955817e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.018181310386043759e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.096409054205246703e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.066527600815719179e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.308597015318809120e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.267025339507626747e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.769804230853173177e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.923427668580535599e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.430760878992678009e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.064104199934009065e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.671645046661742517e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.607085295980889672e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.942052042180925753e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.835209934872071180e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.612572432602133343e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.640601194689811138e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.239209218953360558e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.838445289616735367e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.440177668892303808e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.553636968613382630e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.503731554457211073e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.568077586844387028e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.022160426309683956e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.389947064580629998e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.918455758910295295e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.007782621394358591e+00,1.000000000000000000e+00,4.000000000000000000e+00
