f,c1,c2
5.867880897968758003e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.963883074292089415e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.597463201131603117e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.042216927952269057e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.795604260562751797e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.066934308437255119e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.400780934082615170e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.716495301537216855e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.316805706562532263e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.922163016796756718e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.399055995876966163e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.708997660609162583e-02,1.000000000000000000e+00,2.000000000000000000e+00
5.136706903569656646e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.053501256372448180e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.242063432081172758e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.303169164600299523e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.305931983646713368e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.757183534085395682e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.175550078092215456e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.471367246590083555e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.543433374434387551e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.909349944779047036e-03,5.000000000000000000e+00,2.000000000000000000e+00
-2.296267946612839672e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.815440064011867305e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.456163523323346753e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.246035653432705947e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.018722884730675737e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.071310435867593586e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.221427784232373970e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.166887699175942261e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.541163040869280687e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.628287406644904456e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.218655575958648818e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.212190528281354984e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.130498931894267201e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.273894697647689922e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.658459549454312787e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.031644328952058154e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.970191045596362933e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.901511766383846780e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.110921753670188861e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.054379387196761275e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.731258685055297009e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.419091075375310596e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.273423573197549175e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.338628299237670349e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.494159280500215736e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.653504608761428241e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.485882800523262492e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.585980375037380430e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.858021027186087970e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.404238505702075868e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.718165019057050547e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.199317592717654479e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.112292897450001705e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.664514753046938855e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.602631784930779180e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.106228760759785601e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.612845028286675086e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.107391192293055771e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.655036726159064830e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.421400843313529005e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.115790255976267575e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.492998665198850272e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.800421075726069020e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.009166181230292114e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.083031288768172340e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.246579031188245312e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.632693925267598711e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.616319170528294213e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.175105305028869784e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.136726481553312275e-03,5.000000000000000000e+00,4.000000000000000000e+00
-1.450907459862151860e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.711420634888324299e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.511046952235858609e-02,5.000000000000000000e+00,4.000000000000000000e+00
