f,c1,c2
2.198251659907170641e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.443173117515494930e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.170506566037984975e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.437876195849890237e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.536045987965642512e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.805658152460372312e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.115706601451130098e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.907947019820416035e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.302646198162748847e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.937130071849447965e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.777189436929944577e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.768582152090986348e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.195483213330715611e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.422273172712347655e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.083496860291610187e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.119793691498648602e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.874771764191492274e-03,5.000000000000000000e+00,2.000000000000000000e+00
1.704206667844706535e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.710277325871723875e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.487755643815939166e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.843072301126418733e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.468697940616548792e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.378118639715073535e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.260213721592885250e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.724328482126364470e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.798910824797963937e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.253522894815281674e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.586755169983972147e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.278693819891211447e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.414842552870606784e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.753105281792582293e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.834296149290979283e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.715714866286661699e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.214815304433659149e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.203342835197250160e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.151211043688449287e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.025633818207184245e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.138629481223695006e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.295185265250676565e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.376290339553576381e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.054064245122768861e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.249708134329296172e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.352743544332669856e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.376845433848246092e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.092248256440155441e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.411391903633627098e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.675894574739384524e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.300301094749898523e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.867420798225995160e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.131069940900534476e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.902736086780218550e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.441881656169231807e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.565580797281110881e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.336194279391575535e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.204862888682795674e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.546150871146064310e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.812233373963723082e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.642195836164839662e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.074360814526364782e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.283422149410033741e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.340917063788577446e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.529414440309580181e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.165304198645931599e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.750766268077755150e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.721446582718396012e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.199320956624107204e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.415281327701603420e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.330016292917871823e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.396370775522040253e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.001383092839384314e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.101876328741342448e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.578709338501543380e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.294222792439654768e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.933764283769537240e-02,1.000000000000000000e+00,2.000000000000000000e+00
6.874370461316614556e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.694655271516042117e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.217942658490331453e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.110481493499234862e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.319572949428364117e-01,5.000000000000000000e+00,2.000000000000000000e+00
