f,c1,c2
9.382621490850584500e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.174626430750139949e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.413812763136196082e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.150444454724174559e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.310882087783993066e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.361399722262568446e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.106197369848359147e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.520239131756636386e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.697097831997028017e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.081955929289162066e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.494950141690949419e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.474472141590130958e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.019454818726934331e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.188368805872139555e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.552934764701483124e-02,1.000000000000000000e+00,2.000000000000000000e+00
3.133405029591656010e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.189495235251383454e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.684144526335794367e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.962604191312627755e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.243687657603404828e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.235143954396506594e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.793371853245582681e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.675521079497890309e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.782322903458839258e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.754095677648142448e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.640901796670477086e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.483488901908092572e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.328388091251290204e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.730480681775741658e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.351863612013081806e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.219874204939671580e-01,1.000000000000000000e+00,2.000000000000000000e+00
