f,c1,c2
1.286145547464811578e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.178721715130432557e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.568752758310888007e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.005427269781839605e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.775044623133450239e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.515071239880073861e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.682055961673404099e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.998397169682505137e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.847621718629815390e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.205155001840161333e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.396972172248751809e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.218484303042782047e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.910525414928147647e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.341471545222524098e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.316777949183294716e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.486810954435430432e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.109239419706138818e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.257066015713745322e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.060162874524480436e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.406263429948900523e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.621812169542273807e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.621984082524852155e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.127536933356077409e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.634925278702815898e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.180040302526863538e-02,5.000000000000000000e+00,2.000000000000000000e+00
5.005589898965001616e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.141700450622298746e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.339132917350173368e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.123526641872658383e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.984766602990869711e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.004597168926600670e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.722619811945287793e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.236771965599789747e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.086012860896235832e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.366255736951029087e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.196448080895032184e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.548347692888690119e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.838477549800284105e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.411498122792647525e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.547004763419243645e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.504441438299525480e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.386121428165947300e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.555836150094324299e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.255074169459365674e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.445017696500379589e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.859668059142418173e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.734602837720545132e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.656620365401624939e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.186635649751805133e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.905226948464758818e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.703341096682971401e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.091194000978202183e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.411407434423530560e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.534556821937258064e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.166939822201836119e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.926294891380186503e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.888110663825855351e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.632121698297162027e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.437899942957018951e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.139345390967933191e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.082606724953587340e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.085930662262825308e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.543740492055370561e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.699703931797402312e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.543637941231134958e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.003518797930011308e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.923698413979132660e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.055161547673773903e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.182726796408424264e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.146695379265725290e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.487546871310774454e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.136135554832257810e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.766735296870334260e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.600717132936679832e-02,5.000000000000000000e+00,2.000000000000000000e+00
-2.891698443436250265e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.475784681337510618e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.103727359329871760e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.225265305981977360e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.276335575934186117e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.078290693043298720e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.335852318442786846e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.851970371041903096e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.389250214843930298e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.289695047806785899e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.560978540907602685e-02,1.000000000000000000e+00,4.000000000000000000e+00
5.564232094615542579e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.371805231678304482e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.753257570597027970e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.807351561138485274e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.184442440927912399e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.292966343757172065e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.686247459900759083e-03,1.000000000000000000e+00,4.000000000000000000e+00
3.740224620159487978e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.165749201918977240e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.047420748914583033e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.054651132756189824e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.962910440899427122e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.848088346249426417e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.850911661822469245e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.480550950935367815e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.541263116084346629e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.906201031466168372e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.626068319091489744e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.344748777269879625e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.495035316554909954e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.689640842366863183e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.855023922733862740e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.551168742421862534e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.718311156795872097e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.208562042000525083e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.399408543927850079e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.786367383202124515e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.073164460455207081e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.936986407800535659e+00,1.000000000000000000e+00,4.000000000000000000e+00
