f,c1,c2
1.006356628413220600e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.771060573740648181e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.719662235939765971e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.272063617642420041e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.533604323145549841e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.415451771548236870e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.079485278660106351e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.816044944486876256e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.011389912194221585e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.382384301084588873e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.071776985645808811e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.197881670540949184e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.392342210641322353e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.520941962736545694e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.043603290355742841e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.524206567841358329e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.509357854860955417e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.099703653374422885e-03,1.000000000000000000e+00,4.000000000000000000e+00
8.777924854543543987e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.830481455813282921e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.337026702799914535e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.405041133943099041e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.240720603743171946e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.313473619535022063e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.185771283924371478e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.465422114614698179e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.078132482661890768e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.383398438656445961e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.124798078626320530e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.533082068319187918e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.111917556127013373e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.513527949588751476e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.003859534633660067e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.990913677793584080e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.296133312735264553e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.207341190456633351e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.993769118300703802e+00,1.000000000000000000e+00,4.000000000000000000e+00
