f,c1,c2
-6.003464584280367167e-02,1.000000000000000000e+00,2.000000000000000000e+00
9.358840262664948062e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.429188439000885769e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.991809802701174803e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.847115170667860795e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.474710818658577338e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.365561563361713970e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.158804072368206484e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.882264765973530540e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.849570101620413354e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.788244188935038226e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.303408513937754698e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.431133725122399225e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.597209508497267283e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.765483918650348372e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.682815968126848194e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.520144784440170316e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.422038687877805074e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.558693194284605621e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.451199627374103684e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.818683748581671367e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.620950310021259111e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.643339300632022937e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.369444295666394140e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.276226972928942383e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.773281201092722914e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.862742066468530133e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.831131829426064339e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.356253017188813637e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.057851163338997758e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.534268266666625413e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.108685570744895710e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.737371088256919105e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.018321330509618150e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.859077028700617307e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.349200575383664447e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.688279390430590388e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.694312772554733559e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.538098214108451600e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.179533550480227788e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.655556718326152144e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.948587918830921195e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.728005366856974145e+00,5.000000000000000000e+00,4.000000000000000000e+00
