f,c1,c2
3.654962388033808018e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.298102929722105170e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.845878645560626197e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.555694381342106358e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.426011438791609853e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.048552362160257267e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.165777319217064845e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.060177328505742089e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.071595410820365801e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.032174848898722130e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.180764758307960349e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.631800078814345592e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.155777190233931329e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.509547466121011317e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.629463380990880506e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.480646245330822897e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.720332739261238642e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.959227161167267806e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.835181459698887796e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.218628825568484508e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.090466537820188986e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.827420179609160811e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.177522434645251970e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.347716596633537378e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.163332067786567059e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.677606645002750696e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.840513428372776872e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.795720543788586587e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.227372004198963751e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.106107043529916734e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.351641178475330385e-02,5.000000000000000000e+00,2.000000000000000000e+00
8.651319552863869777e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.562654290987166572e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.236344054548428745e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.293444376093260573e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.157998147623711560e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.223739539404154364e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.761971979743107930e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.865796313651315153e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.409909511198148557e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.659695701578000726e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.038306693597828456e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.194939374095392443e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.791502936481240926e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.782368970706168287e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.052508148081899186e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.780960479772868865e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.012020774288984182e-02,1.000000000000000000e+00,2.000000000000000000e+00
-3.096334524563912338e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.459745970078612953e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.949577549493721085e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.447304504062164821e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.531030603646501120e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.797465456722972199e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.430685579187888301e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.765605043481629610e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.541642453632028342e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.047955477226368393e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.546993499468616751e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.527829180293457156e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.187357552074418288e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.918645065369471103e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.680061925494138908e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.862829976292002421e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.456766409670224416e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.649936869263765260e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.836240153034290667e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.594862774173105624e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.909388901299414965e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.287042052800503100e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.895465248764701405e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.682299559958333912e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.698141343149366378e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.801035172225629921e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.300483904436561255e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.067501353358020433e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.489185457914107502e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.803196815014491694e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.996559479463817510e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.337996089327000870e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.144155634179047976e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.271487107671017025e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.001114715038323943e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.115591751099310969e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.216677457900615655e+00,1.000000000000000000e+00,2.000000000000000000e+00
