f,c1,c2
-1.125482329404420723e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.283489360881330477e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.093901996602150262e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.839294894454001517e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.969975752711134787e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.168494324475915835e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.618475347125353403e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.655462010984959709e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.095984097399029300e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.566642413493212205e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.122658575536346293e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.806487531448154105e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.021504568309831384e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.736801945718063456e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.966018512011621089e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.994936103763811364e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.608109470295109755e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.078169472067462831e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.127638921875210976e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.976520738093653251e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.946314317182376241e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.926995435505063400e-03,5.000000000000000000e+00,4.000000000000000000e+00
-4.110723825854236679e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.017862132793768581e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.227556075889927545e-03,5.000000000000000000e+00,4.000000000000000000e+00
9.665313975668857749e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.649487416752026814e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.387145420610196411e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.010459160130505518e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.221410868950550288e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.712538436138475006e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.941099865151511339e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.331511733778248496e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.818740267605419736e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.112788807500458166e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.675985194067797002e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.498713408539392500e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.373460708083852344e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.817878159127529814e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.141853728091836606e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.694276524760916669e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.203441440450789157e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.489954873322600015e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.442995956591534901e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.393921665395268406e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.312009588066626042e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.737570592913274314e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.544279486989556638e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.809759844503724180e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.849977605233914302e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.040858460607908542e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.193403013442403848e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.988483883837292021e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.948899825234824190e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.472466906702414757e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.259984526014927164e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.681832632925319926e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.223619692608714615e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.175907671190727033e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.916749246219647151e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.459156432203959186e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.701623870095309465e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.027209567553774239e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.581462266709425579e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.116450906840120827e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.163699284785687960e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.139324678418509151e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.581602833879147796e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.021186958999662053e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.639575047654795004e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.378342899067186322e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.225785672070906829e+00,1.000000000000000000e+00,2.000000000000000000e+00
