f,c1,c2
2.130080511899743456e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.435020395485999689e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.611483969010026218e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.926004582224660311e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.444827125400794499e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.902494606079588424e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.178003919289865475e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.426195790163255150e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.087907357859244417e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.457776249585144512e-02,5.000000000000000000e+00,4.000000000000000000e+00
-7.862031148796357061e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.858714044359402351e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.428145408910130421e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.324139471231212895e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.775756441290020193e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.485487819963208889e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.601464975599126817e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.031062889996690712e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.596552557050991750e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.208634597023565016e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.089452255626963822e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.017484031349428442e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.127145590225067773e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.125802627987609661e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.343254349492493116e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.107548531640514700e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.078302855855258535e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.311401799833513016e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.423169506591165090e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.465700371421062798e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.366715179336466690e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.990918272213498597e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.216581480407830984e+00,5.000000000000000000e+00,4.000000000000000000e+00
