f,c1,c2
2.108082890878128168e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.222182285041226502e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.360558881627919492e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.042537066498286924e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.441407781846258729e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.070216950232351749e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.703767339361028643e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.729230347161480719e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.396639465809466518e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.299109189766980421e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.607522347818130193e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.137333087935350040e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.077010218498618777e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.065547018227197551e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.885908915965669230e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.280618619163821359e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.495520192652817659e-02,5.000000000000000000e+00,4.000000000000000000e+00
3.558526295958399643e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.408381673542113299e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.344224754978709413e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.038287577457826627e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.860844258872165646e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.123412923897470161e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.513292443701208079e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.779863139717057008e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.719811953058619558e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.114189957870638237e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.903893520056791244e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.113366570015629442e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.405276479664328448e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.019404425839294026e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.483923261300877039e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.726756690748328271e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.507791697872965742e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.609422396070892880e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.640796146188510996e-03,5.000000000000000000e+00,2.000000000000000000e+00
-3.606245429872032560e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.162295590651468258e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.111001565321990014e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.932562375031352531e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.014899117718437438e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.064732166846593886e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.392175211381017519e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.519624803978185446e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.001234848916601194e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.184005628282249312e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.223008278019189987e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.351445193669468914e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.223484565581630878e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.523270533163750606e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.253339121362970765e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.142717875144877215e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.304139697408297716e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.145920066391984182e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.923479240834809811e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.787223188423064268e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.124433766816686386e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.720703304599437988e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.214052760503016470e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.537065176227399022e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.908332651232456545e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.401367357945736192e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.724198387716839420e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.582895077811513396e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.268695706671653767e-03,1.000000000000000000e+00,4.000000000000000000e+00
-2.620571556456957829e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.022779896245033626e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.278597128337284561e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.484935840313230004e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.388089421385181321e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.734241435887837746e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.410428702259244105e-01,5.000000000000000000e+00,2.000000000000000000e+00
