f,c1,c2
-7.702769104075832818e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.007458497988968915e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.363586109597254570e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.782771774354390937e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.240214194768322287e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.679291960372662373e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.855296147128081108e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.810969817552195771e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.180233344893811820e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.030490657660042775e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.642973053853997945e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.962529260150488675e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.301172769678800689e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.013495401055545919e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.192209140439001808e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.132964813703639884e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.105858823457924078e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.017826059131919259e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.621854238740489507e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.401884628901516550e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.153547778692874060e-02,1.000000000000000000e+00,2.000000000000000000e+00
8.949685917374424760e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.695601034854294031e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.371286344658219747e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.896098142922074681e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.643882987053865818e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.300992797727307471e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.125791319573050675e-01,5.000000000000000000e+00,2.000000000000000000e+00
