f,c1,c2
7.237860633558730328e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.713389382582564568e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.777992545007969660e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.395928644289073040e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.230185676036119835e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.027178012335541624e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.070149411230464587e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.437643915231627378e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.112656243446415782e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.579244917995704989e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.111492643580914486e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.043597644896648191e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.017144540093229965e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.824997839833440216e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.838866246669484061e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.176996373911110672e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.312733344512440059e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.207950057407503053e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.036676351179531830e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.263826399535905587e-02,5.000000000000000000e+00,2.000000000000000000e+00
4.849563756983044094e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.624869481642980062e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.064761647298301028e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.931238004646800732e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.152324083444972169e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.628101085459569219e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.555588333258151490e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.129944433071522480e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.238539927424234910e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.271100758178710155e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.002821572348054247e-01,1.000000000000000000e+00,2.000000000000000000e+00
