f,c1,c2
4.574209291444998327e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.271800960277745141e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.808555512950745348e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.003972930677418773e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.076597390691413469e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.455257005952204530e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.433404596688772292e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.983452948604523591e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.006151919762099833e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.073184070981138660e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.461706170759559997e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.546989633452532265e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.027846690623245962e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.624065418659813353e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.553228628187615534e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.035513377693322079e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.604469409835875826e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.872834740577491885e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.457999946192921392e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.811971818312487770e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.562744659599192287e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.847975276370129594e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.104822382186289476e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.497721718926840584e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.053993895176422946e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.175096457153228524e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.954275498976278946e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.871371795705401464e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.114415769275973300e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.030104694010246069e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.007717367829447763e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.145803006545835112e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.943205903429025216e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.352413157954771350e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.885478771360856065e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.025403901040401244e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.521351461547481687e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.492143799573629803e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.497102302086941616e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.830734505548084756e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.206829141584981224e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.506765485474474531e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.360096427944712083e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.358060121556511568e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.528990849031860666e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.402277789714807543e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.503641852805870816e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.758984291110582854e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.101337546591194982e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.129752774158049977e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.213842827198457763e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.140021848949092087e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.996721890261479171e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.887171228566948411e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.753960171642785060e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.687734057331969462e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.634938215842526521e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.884621178762086791e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.002029490127893663e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.932326443931453142e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.852982176943369197e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.743237287925906820e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.613024582370387705e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.717866937502734004e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.347199760505674693e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.358616612129338819e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.336508620707441697e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.722556402861070257e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.345749142402863363e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.947163992605235761e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.736500073850045567e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.285297831956303760e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.987494576636906096e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.175311100635656913e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.668183583274571724e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.121854918237898069e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.998167148825631401e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.831991473575345530e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.316610016754692580e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.174431458396618444e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.456154892411272606e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.957884840660414572e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.868613677865607947e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.854457927362220815e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.847522268061482231e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.682882619265955171e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.142388833184498242e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.044579004319566851e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.739947118879678234e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.041407715707283632e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.909996222902094587e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.294240474663339135e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.797392749170178217e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.316407156714621163e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.915372364532317281e-02,1.000000000000000000e+00,2.000000000000000000e+00
8.829855606698916448e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.751264175825744118e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.183646631125041537e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.070725593526497654e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.054030201746176676e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.261648402648013256e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.316693772107871863e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.073626970336074127e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.554539245395259783e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.749041390538787821e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.299990421042028110e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.900758313343965611e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.546899936748764581e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.940067796032304726e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.097449197713932900e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.247091998493862652e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.126634827019736163e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.189239846138273382e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.618191039806537779e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.359699004074671924e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.391339094985261760e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.833691670437554322e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.530211555852945327e-01,1.000000000000000000e+00,2.000000000000000000e+00
