f,c1,c2
3.758025067974825717e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.080794032493518131e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.994277613601339150e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.456476355430716740e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.606207383861291582e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.872736118560671126e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.962581855465733494e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.602511454871300423e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.113110776807584301e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.285257459388456702e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.510396453837564046e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.498206337609987449e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.905002151143079470e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.536942406673338368e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.472985324880455638e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.546409525774741556e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.416663847956483036e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.596621864569168187e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.488879566677680621e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.148194170545314474e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.074504805509213234e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.009333671835785040e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.022995608387965216e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.680222210853220988e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.667088620716346892e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.498087169814215747e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.139204982063043270e-02,1.000000000000000000e+00,2.000000000000000000e+00
