f,c1,c2
7.680236060125482656e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.847847827687841615e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.363946565530631094e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.312954318913570395e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.007267480056944331e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.853014360459566134e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.190308761915656932e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.961709753704357517e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.662735956212222366e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.701763021530548592e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.590822067270825757e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.669257773327097238e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.275108619344665239e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.729657334564759452e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.922581100144962196e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.071772861969991109e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.519663013410122776e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.568619182257521949e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.291360010640124845e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.249313411969481091e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.846484893964124019e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.201890566603515786e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.761917281227999732e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.369334427506542218e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.851548282454968275e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.318070329080345271e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.103630450831351251e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.337266421846360132e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.048188922333305850e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.694121221371288399e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.371788205260219939e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.664293723349846932e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.649524122365329859e+00,5.000000000000000000e+00,4.000000000000000000e+00
