f,c1,c2
-1.622645902302831233e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.590779488673454312e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.501995741789304173e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.838622247724055025e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.605197987801755488e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.272812248258381906e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.905368501086742938e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.268956191903306330e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.569004228422426372e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.832064633402332721e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.978391955055113005e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.713057637505968955e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.104734274424319818e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.570833323067546416e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.855777595819226633e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.582710645004951289e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.182720710097639127e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.361067051831613250e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.243371518964863087e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.014375115477541778e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.698200602704829976e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.013349338374406328e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.168278213920433295e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.416030596149275178e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.144993471657540063e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.917960194840883759e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.636636640188965153e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.090574425436754424e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.885990402754381901e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.096961604975903004e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.399989932218720590e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.086111170116978109e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.962121440298244535e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.902270330122580067e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.948695970171608227e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.793065453110494367e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.738131475652767932e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.423264064730568990e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.092638614167078970e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.084960826604808304e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.139678096446476330e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.791463391563423713e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.943171639996353450e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.327785893835067288e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.459876379048932860e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.197588480615921380e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.998103664249697431e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.345374749605876330e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.478797727991285837e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.513088557754481034e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.053361001997741742e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.310835691421565530e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.746804842400420998e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.588744152687171063e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.425102174279240685e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.475465825982591905e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.803249690406085515e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.253884621208444239e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.182232443837841540e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.783019178806217520e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.325817223674492285e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.444391693692338663e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.810055539282225290e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.551294385248766394e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.207843462749385255e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.356810877116932268e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.691742486763469833e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.559633726332219084e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.698747341170112168e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.162781836814989589e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.501245566309950208e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.459394439692845769e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.820939043483572828e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.587837975291560788e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.825092449966857266e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.311477503434898217e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.447557221010883577e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.085478998233952552e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.475307148212602559e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.322768594538011655e-01,1.000000000000000000e+00,2.000000000000000000e+00
