f,c1,c2
-2.034530317624009044e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.144267836112790038e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.977199335450883444e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.791855648740652951e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.896245797282661627e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.013433719223084895e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.814960803581476378e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.091953882865782433e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.073450286964533484e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.102692584325012159e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.750817778197802710e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.969016413009903710e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.118472371436842860e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.060708426944931615e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.007680091248207122e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.404881298754310191e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.004541667999015037e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.468431680243371007e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.610057567996377559e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.167604609296868823e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.019851875108843675e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.506523811745333619e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.370606254703989890e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.999240841504299593e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.122271238258071901e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.060733860931316053e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.484707514872401546e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.075735106569671168e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.578556202922044349e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.042127568745792154e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.826616254823746135e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.429589447523111012e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.495744271319876084e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.292316908616373883e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.233728212310532424e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.395584084903567001e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.320371529756572182e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.541325155528248336e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.793530144397667891e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.393509807699103709e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.634632520644597298e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.179154181575071902e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.568814599244510055e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.254853418921298147e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.833608330314574930e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.014860980460470685e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.116070661033335965e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.607967897491759196e-02,1.000000000000000000e+00,2.000000000000000000e+00
-7.668456022002390071e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.367225237995626008e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.306880027654454990e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.852858380943564143e+00,5.000000000000000000e+00,4.000000000000000000e+00
