f,c1,c2
-1.265688781911706196e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.750214635604362190e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.300856634948801549e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.624395739960625473e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.523410489447687866e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.254099678072403856e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.196221565643279527e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.787991210265358788e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.249328759228928831e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.320449109574564517e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.435774780012989860e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.880178521398640390e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.472568471382964983e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.582697604584468287e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.816674897836410896e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.541826673982907181e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.454480234490358015e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.403142668704985496e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.769193147764558383e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.064737121155995503e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.242899687712343493e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.438323336656882390e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.045633637438636132e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.315682378207353231e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.361303705124225161e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.560145523423671410e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.136493797976048992e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.212758092356725270e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.343634625092650303e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.228055949188516571e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.600035832887581222e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.907061281394540675e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.139564670521681533e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.431704315619089396e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.487774040598752734e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.282140214484860152e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.003075985939527293e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.153693178393256691e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.644685126147046983e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.761307920513178082e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.362545067484702610e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.159384977596260580e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.699042595504293374e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.057309390150761308e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.060573675056272425e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.870917694116885563e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.146503896859408345e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.428741745432943855e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.000812305138222946e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.462991803650278033e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.817955896270345484e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.651656827556282625e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.439160019402433655e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.738195746204207248e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.297445639704857046e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.928126173890414963e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.557573690584657555e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.543044233513097829e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.745247181830686500e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.228321516143667802e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.575637095937450383e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.892361899372922096e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.189352373140574182e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.239582285125882199e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.446247252411889228e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.963142187877832012e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.004424500479558446e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.390696972950335564e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.141069248462668551e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.440495016220232571e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.174295091010274295e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.165036309315885088e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.389151342806794087e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.117448073456101643e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.527564467077489052e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.242797650231608264e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.094098725838665187e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.238534234219408781e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.987898425188549867e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.860266499496054493e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.217348958473927822e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.628198102891573740e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.543556185383913260e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.372454723891156192e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.400871448636664018e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.619100836367735052e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.842506589992313315e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.206494591536158900e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.944296181589147521e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.551564335162232411e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.970711030924144680e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.234224282360102398e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.897582717421279819e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.857670004460924673e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.079055007363590057e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.549325223147049790e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.989034425318587429e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.385080285524554977e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.764153891616201175e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.400678781662413996e-02,1.000000000000000000e+00,4.000000000000000000e+00
4.733997284841711672e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.624469143568681551e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.224639913452249540e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.932617861121112668e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.242390793513160396e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.885522808809274586e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.176264376454468241e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.986674060337376257e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.032598411101871339e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.968493006181748495e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.334860699797300043e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.354448260283571237e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.535770849493751200e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.729921268942100632e+00,5.000000000000000000e+00,2.000000000000000000e+00
