f,c1,c2
-2.484476485775410914e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.164142756968318704e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.767278096367507878e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.120577217095311662e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.367553150435891318e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.710102573775726276e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.863759360023392708e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.715035635203307374e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.317012245249963742e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.866075067459828318e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.954226973814623403e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.716830833231241304e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.360072298368502075e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.611927551360497368e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.768004394225197284e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.020861717374021094e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.047130862337458224e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.087999686683073897e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.184166532609900013e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.401540519820242192e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.361919117405399726e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.329134120654140494e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.664337945329472657e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.372235734213646197e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.634366893911012308e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.171571266004684642e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.589233977124754615e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.727832062477178354e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.050882187536547274e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.215063977733921829e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.272536080226603694e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.424360495236404844e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.771325319444871482e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.297755790378673169e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.616546942350753246e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.797769062015914576e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.723762777433207161e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.916702712808397879e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.858283512265524795e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.051502569769506845e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.362084902272315379e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.757348584344225140e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.527836143556680959e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.908563161732541591e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.294831725953991430e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.422564153225352790e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.002198359983772491e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.617012520726347713e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.280960257209449171e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.789619953593438950e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.501415347177708304e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.537613752201826056e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.131051566694702526e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.927504902228826644e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.460945401182413672e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.929056863931865262e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.240737312358443090e+00,1.000000000000000000e+00,4.000000000000000000e+00
