f,c1,c2
-3.382841946184447224e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.672630342881967103e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.225027918528036386e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.013647148413548971e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.386372421930400778e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.503119561127432391e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.143636185771126135e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.684304868954606516e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.485768546407509660e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.535660773025933512e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.810819780324922856e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.677424292592291533e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.450342542336388707e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.673175379981737709e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.404804899559810138e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.706584760323396566e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.392955179380869435e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.727834317125005459e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.058657276309697970e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.609023894353773798e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.220670189642878878e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.857341051851620684e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.995991058849173605e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.931969153618570800e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.624208879750638435e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.166959418665823645e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.868617495483693824e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.171080563383174677e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.034558359012581974e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.469652025937197237e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.517139551350084936e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.964605967927662622e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.936010992770341499e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.733605186251995001e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.792454817258374522e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.253015054117873728e-01,5.000000000000000000e+00,2.000000000000000000e+00
