f,c1,c2
-6.491504847550761959e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.818069888748966356e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.956982128232936713e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.357070588072643469e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.461810018985829629e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.114559105247032278e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.936192827588457455e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.640869550607123362e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.906688827035337930e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.623937216310713527e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.004086668320228526e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.003588786089335771e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.108925486708731478e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.253941619862685819e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.746523834912160122e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.942419137297979104e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.141731279724314430e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.683001783524927575e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.946194668445824227e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.137745231232349941e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.373320603748598323e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.025872334723584078e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.041771817109335974e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.459156541587749878e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.205796660979542523e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.277740931370242139e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.103985998239626731e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.154853143969213569e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.542373135559608865e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.071502399060463961e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.433911912048228210e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.447863712712490702e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.915888343178846487e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.482288188058159761e-02,5.000000000000000000e+00,4.000000000000000000e+00
6.358436071503674736e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.187615468914472228e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.389170846462470799e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.270959028356509979e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.991898692976953766e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.611471416418836178e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.253982694156678956e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.376919295929291742e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.946428964383341675e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.851012814954023256e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.285437527366472876e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.213340361679114743e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.821313257676062225e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.012964102590358628e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.756542527063995163e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.982035699595681155e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.563094067010891264e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.662737758335153693e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.924145918345569806e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.253413614907031626e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.520828177805860992e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.320703848744645192e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.167026771834422938e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.041710301268037986e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.596972587020244028e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.980928088336105786e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.586210498793660495e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.192664143845318492e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.569872550213294637e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.492935678780058506e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.413005687401920341e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.983768603379869155e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.031387398944526579e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.915421395002291582e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.506023294891452924e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.833305124435609557e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.921434521012956864e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.915634971188877156e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.788946275533316310e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.400512095799738566e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.551299401432991498e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.084455442477521458e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.146672403876022539e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.259461319394922896e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.972842808150896410e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.699271928404698428e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.423597083088806059e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.743156858103376727e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.572474431692739039e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.354832179011390192e-01,5.000000000000000000e+00,2.000000000000000000e+00
