f,c1,c2
-1.851851915545137395e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.230519341524089150e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.628119687033158236e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.165873875980757424e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.506198695364222129e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.102290510742276908e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.007481467469357739e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.509096803413526811e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.289579564990720684e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.877957157033850022e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.914482405840807422e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.225051664395294004e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.155296825970529184e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.818738354003285540e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.488281317105772494e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.941185184730683577e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.540435578261828420e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.834494369770077293e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.399725172034173459e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.226589093596754054e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.599141887300291387e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.191943316782396955e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.015993647351132179e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.035024382357189410e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.933747349007615135e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.878226061002387759e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.045175280441191568e-02,5.000000000000000000e+00,4.000000000000000000e+00
7.310374837401254489e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.378511608667345900e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.854268893162098752e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.803967369852476965e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.242387435468491841e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.289591432839870766e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.305735425852880827e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.507137652007574546e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.027727489800677851e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.737424491265370685e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.409544069869543392e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.678971713786361342e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.792825441359317651e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.736379760960921725e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.091783729247916002e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.944555743072503340e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.379912061929985168e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.231784464233613097e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.403134315757869732e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.019604727433724989e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.299525901181108889e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.446015655921473186e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.237493610520439713e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.113314158927851238e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.862446313007345644e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.309189936004281352e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.874209275521873996e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.399920508456412360e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.365846169173509095e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.318957726969422151e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.194666649238883327e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.724435816002726440e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.871680272591436767e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.306353423278167725e-02,5.000000000000000000e+00,4.000000000000000000e+00
-5.611794783071859527e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.340594445738843010e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.260861711074993341e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.377789741495972109e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.164334663381194623e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.825736910605897378e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.020310462347506109e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.030901079640242912e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.005080669342630184e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.858784815807409174e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.189976705820099845e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.980701505875274382e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.390900090788016463e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.823062976336022878e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.774388783417226056e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.179305267342221519e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.483072281705511308e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.293612660182921648e-02,5.000000000000000000e+00,2.000000000000000000e+00
-9.497114510982958002e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.827589838207113182e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.123093885431584837e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.651092798943540885e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.889427777446322843e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.724562625134618887e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.175941489866240808e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.324318521720265318e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.548500208063110062e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.710253231992089784e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.099485155167256867e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.930004904594633697e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.003086097902039509e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.071435326102165408e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.004100079773452059e-02,1.000000000000000000e+00,2.000000000000000000e+00
-6.215888746832598510e-02,5.000000000000000000e+00,4.000000000000000000e+00
-5.097404596025345569e-02,5.000000000000000000e+00,2.000000000000000000e+00
4.203249829186030961e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.892836530203753309e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.173097338131221967e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.319198992855984631e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.547185693516015981e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.500984247754617362e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.912842845786194124e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.993459132638183195e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.616206594802836127e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.441958492909707346e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.230863561448487964e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.050458786591078386e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.441502222592989213e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.350835036539272060e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.506494224903330181e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.707279836281740959e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.300589386122978031e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.840068139844813988e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.345029484412137544e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.176480094969801549e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.033877197119913660e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.059765884001844904e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.188685540493951587e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.774509459361006458e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.663011400588001454e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.538082807548807329e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.559960099567541114e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.222586579566290022e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.978736243855824695e+00,1.000000000000000000e+00,4.000000000000000000e+00
