f,c1,c2
-5.135885958714107025e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.460596880864675207e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.201500234129140421e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.139632644820428142e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.884067828454865978e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.182190134986324637e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.667859452587771463e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.389142389521778320e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.923319965860104341e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.067772297307841400e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.467244867401664044e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.886666662258401850e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.938265516754273166e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.582594476834146668e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.624070071223509437e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.130401603919332698e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.060874764951853955e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.867815911229415704e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.049320115746021465e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.639824824607245768e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.541385908581418995e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.567776122585264442e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.920317035031871011e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.102392200761507013e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.930472890491184312e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.581974118878431756e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.886084963228711553e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.632806601081626674e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.814562164964712121e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.350423396726736058e-02,1.000000000000000000e+00,4.000000000000000000e+00
-5.313867526565607680e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.627128160201481877e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.536386738112220096e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.956213013638042231e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.584823285262091597e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.387046440061096453e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.994690655036015225e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.368877971541875738e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.735446552509656515e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.962708835817905673e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.992660530796865115e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.720674266124484264e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.147549398058765990e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.638033539433553010e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.116855210505520835e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.236353047279461076e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.222402100461095875e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.650298501853393690e-02,1.000000000000000000e+00,2.000000000000000000e+00
-7.542356727813773754e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.480703487733179058e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.022655497770606603e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.435502490273212528e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.407003066383718970e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.969193346193781946e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.003523918811193294e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.556088031121738130e-02,1.000000000000000000e+00,4.000000000000000000e+00
-6.319579217521618109e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.472281138285192803e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.185001386934652734e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.286618910363815704e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.799088872250804272e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.636969632654072138e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.423767769077662226e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.099493073360400697e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.549245290726163349e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.035279592304642726e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.946935559276924743e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.975872436977952340e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.780938503770686632e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.203754604295917296e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.257541825471079511e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.834960192951649249e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.442592016378950293e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.647044615372917686e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.912647650512065353e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.705284896265704786e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.588938498317723491e-01,1.000000000000000000e+00,4.000000000000000000e+00
