f,c1,c2
2.907072733330960279e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.017710278138896918e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.209681638160494566e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.116907552033175266e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.363658330341181724e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.118197027379230324e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.451805329630876829e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.365473425166033650e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.763088266099801849e-02,1.000000000000000000e+00,2.000000000000000000e+00
-3.387094293191672545e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.719157626836706587e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.122399858848090792e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.239941857122472513e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.147832064070230085e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.518935238855322112e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.098656859908969441e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.096729526543773758e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.541252190458848315e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.461302643272179624e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.168149067045643585e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.386980951565077280e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.415368514889279439e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.166393147971663380e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.291998030693565225e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.317749951762952454e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.182059064791264325e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.553784688712364914e-02,5.000000000000000000e+00,4.000000000000000000e+00
4.341688169082574267e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.134747652822028163e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.165303964143260429e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.206548732953848235e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.120427331897576817e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.231734821253035170e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.290727426987052340e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.049697361355044656e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.297957601594651567e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.886211687072320564e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.172266060315878544e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.276828354926837550e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.432178346495102783e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.231882498920616298e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.132939254183491729e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.185396970184676047e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.100269060587790282e+00,1.000000000000000000e+00,2.000000000000000000e+00
