f,c1,c2
1.284271561926677574e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.717331716202816771e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.541362236362545213e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.738984646364953646e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.590463778586003185e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.479618883640444471e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.841647521112904862e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.102345993273697422e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.697638177193607323e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.525299210568153319e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.442540480696347771e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.168865530569549005e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.521108771990217434e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.814326596062831420e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.561558276199507267e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.602083173585465703e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.122586257081549022e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.194350640413879727e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.191753023409565904e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.871498026348230592e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.321200633890220910e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.311896461712245721e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.851714377189989325e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.103542166372746269e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.196744038468867233e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.146956772659383006e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.310492794436405983e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.560303838561405421e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.943027216890709674e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.171991676945030925e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.930432943370940624e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.035209915037895056e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.753259159679305013e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.992939954038304151e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.961692404627251030e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.790338400869473157e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.244516757249111816e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.014783624084721669e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.377633792532924062e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.004095005328815127e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.309736522331891084e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.028041728997222126e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.449836996481339124e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.125168845888475211e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.898255324029863633e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.298409847739996348e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.744400633334146189e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.371926210304948546e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.695570975277012060e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.643437049579598241e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.712088699463884867e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.828018253908303858e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.408608844987472075e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.767142790234006000e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.754273277289736033e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.684661344703951791e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.645745736488660960e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.028284738574490431e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.560101579252586301e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.984617581305709422e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.166615617202632293e+00,5.000000000000000000e+00,4.000000000000000000e+00
