f,c1,c2
-2.024144867573088202e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.782354721525796881e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.262104623570910800e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.499856547610971313e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.197284032987593061e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.008186377182347826e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.156302131634182828e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.878029533267381090e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.521709501009669396e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.238879587522911052e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.532410545968550419e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.922521958262214115e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.516077774789768906e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.140798223756955311e-02,1.000000000000000000e+00,4.000000000000000000e+00
-8.044287316763999440e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.449308832293571214e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.124723995385512487e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.636512621315824090e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.488401016781419006e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.362240026626298395e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.257787453825353174e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.360701908017116324e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.619697160322597362e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.498647586585869051e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.572752924883214165e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.259162076428063992e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.518001372067838584e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.332476068631885946e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.193146280274619664e-02,5.000000000000000000e+00,4.000000000000000000e+00
-5.541476421926453538e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.186865612128659375e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.108700907209812403e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.139004937798445805e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.237755824833689289e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.633192706955913120e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.826989776363828977e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.189557645279516795e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.223270156607565218e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.668595199437257648e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.528182956851743546e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.487265768492863294e-02,5.000000000000000000e+00,4.000000000000000000e+00
7.003364943786073438e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.076338972948118089e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.940238975516870079e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.401240002889317937e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.725538218556017966e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.618734006673914427e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.779593240269013110e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.785664866054143651e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.624361393786321273e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.679843703759579032e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.165383285372493860e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.186678153689232795e-02,1.000000000000000000e+00,4.000000000000000000e+00
-7.245680074995034525e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.591272568856819780e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.246869772454470282e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.924722019268625406e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.131001399679762542e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.231556168237494739e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.337846061293576971e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.680450689343738646e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.540680055531645110e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.304434941688183081e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.085389421185103398e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.278854244469875168e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.977800154369331209e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.069628725289716531e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.557911151382890047e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.428301149532566594e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.347899864874057441e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.042082470580592057e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.172715919121834816e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.185428237486570557e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.513756041394462182e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.121203992247053138e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.288778716173123229e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.431770996140689256e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.725725707874433690e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.534170733527398856e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.217701493419557135e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.753151467443067879e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.377991637123352708e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.431205811450893650e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.324693155366191755e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.019039359796332755e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.232657206830511498e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.525020750670481567e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.725978879169455915e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.535778103763088986e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.332410946421650033e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.745311845329239719e-02,1.000000000000000000e+00,4.000000000000000000e+00
-7.861986135304563916e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.041261640275962685e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.730493058546020979e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.387163049632720746e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.243800664220789165e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.075138984421018878e-02,1.000000000000000000e+00,2.000000000000000000e+00
-8.329816267323933987e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.093397662768628376e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.554047962626513457e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.372599581543475722e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.203852552901373163e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.176701943645602100e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.163100505404737639e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.186586605304967623e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.445393578300214088e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.384328551094561766e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.005069101497274714e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.366056999302688979e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.706681709448883089e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.259590142139805691e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.778780075446996012e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.260787479402784239e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.289255855468954604e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.953482834304346161e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.292593370624834814e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.404900392345532989e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.108468786540588669e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.704304596157643070e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.974724979872613639e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.393811715754910807e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.165023287091538018e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.118585507990282446e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.604638897699151245e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.225310163769633864e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.271130131775744188e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.572106449101840386e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.923857376201865588e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.974680552473951467e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.616971370433456956e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.404941316292284137e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.254560578971990692e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.514768300394823131e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.699656556514364647e-01,5.000000000000000000e+00,2.000000000000000000e+00
