f,c1,c2
6.489106125000443370e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.203798560567415965e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.624094153901784132e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.668925154095439733e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.091611208417750722e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.919169655592342760e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.282531667155297095e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.500106037363241107e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.989744228757800215e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.433033148892096875e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.947381576934658742e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.066168432851535508e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.560303263999572865e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.339739371518387401e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.990703696238502296e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.620533100245684643e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.255338814578196516e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.980670772314651273e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.393301582081620804e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.655617845926967924e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.577496133831373992e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.692886943434653180e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.095139949424463133e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.839271807751535981e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.448260921721519878e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.326480803461119962e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.309972025248576144e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.634844417676697415e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.956842258886231835e-05,1.000000000000000000e+00,2.000000000000000000e+00
7.187926643561574735e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.935973708781457692e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.476807803301817046e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.952961497151984638e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.476022460659651703e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.038395323036682028e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.145662550326108420e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.391695330551935283e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.159761787338718708e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.693477908869406079e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.053950649128492234e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.717438752199745400e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.501840142316552607e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.494534482421126853e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.564391651356119795e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.050122757633545401e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.218944912633578070e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.108932447982360792e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.682232174903924182e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.255779540510250314e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.121551936435159824e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.522941936226239079e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.511714246148503804e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.783425405339033265e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.769970598704288189e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.199153391591048834e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.303747887244863346e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.666352739084726142e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.969246468038049924e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.870040633168262634e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.239272916290846460e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.220697510487200432e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.321863499636379835e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.124522779404786732e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.141421894279178506e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.756213550562194303e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.744866109593405934e-01,1.000000000000000000e+00,4.000000000000000000e+00
