f,c1,c2
1.143929200459867124e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.865647419267682849e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.046033199303685102e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.333234607296024499e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.450152306756343323e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.146429088090031023e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.747644920039071348e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.511630809627009908e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.805282482701430657e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.424278932539545739e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.517234492701179716e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.217872107477282029e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.760144611586399011e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.807967599654881963e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.553563572661621706e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.664905072202963909e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.805004667237264493e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.347927969636798284e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.727845221007026533e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.273208355655573554e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.453836765375474460e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.308778117320541279e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.345262506814217773e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.107534822235097804e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.679538157123527109e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.045126538849301401e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.011428212226626044e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.124524690755860812e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.229788416988255167e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.331103428943694489e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.122751003409554887e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.801178298307942738e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.438109959891338718e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.473381755461759812e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.064079948613920523e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.605329036107424168e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.134180231528170157e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.092933643500959118e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.269946765062256733e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.274476990764214390e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.744478859243597135e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.356995737756471199e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.788608809402557842e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.347273670169919224e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.307466892281927140e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.190039520580632448e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.515302971322908476e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.567996966034261863e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.292976504109956792e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.864403721815697690e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.782808027558910047e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.150316548449263676e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.672587972391704536e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.789493147898724157e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.790570858522999687e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.276368177431040696e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.427082706266534773e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.135899502348064916e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.830941496925526102e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.190697679655213337e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.074605210079842665e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.978630638335503233e+00,1.000000000000000000e+00,4.000000000000000000e+00
