f,c1,c2
-2.899342826642253623e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.368261765068423452e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.498931799762026840e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.160500723564974690e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.681527702509060029e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.867066703437393338e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.858462122428949259e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.259520938655501521e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.907836793745326887e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.082461127962843328e-02,1.000000000000000000e+00,2.000000000000000000e+00
-4.433602960215621280e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.807280569423746597e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.303833983035605826e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.417692739422639292e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.434374950198438414e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.527174267241178551e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.513489850935605840e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.561792842095874878e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.495245666134065399e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.304994678563311750e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.435455018986329989e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.156388133053900091e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.509254555307864010e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.853080254070076371e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.541037100714156782e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.297863060011909653e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.184426029711611594e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.735832371260505269e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.578929810700071101e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.639438881916799762e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.670654951014711287e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.486747118588650274e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.389715337818456575e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.515259886971007885e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.338618883318505093e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.122972956823518942e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.025078144686267123e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.500309028637973663e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.161252295596953754e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.966431153705798796e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.248240128031127938e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.614711747015003862e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.984411926980966356e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.359928377698917057e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.319715441810734191e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.628390585240393040e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.178964079742593540e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.902124835995348651e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.089671306777779236e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.217145883828203656e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.006499134443248344e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.043007138688331725e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.774821169390841558e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.920569085097342255e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.081838001513718339e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.677061580569660926e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.940323772810633063e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.418507624899359776e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.378326921525293791e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.904039077902803578e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.569060529310003504e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.875763845409194275e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.620593286933038168e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.444737110829924287e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.779251043639668239e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.063804678199862019e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.164748314407569429e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.559527800279149723e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.515219408430611203e-01,1.000000000000000000e+00,2.000000000000000000e+00
