f,c1,c2
5.958097723879429708e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.220522007895721545e-02,5.000000000000000000e+00,4.000000000000000000e+00
-7.851040461542335702e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.388508146418023781e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.165911602108218093e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.964857664216124511e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.792525696527100365e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.913681654822700140e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.393914609570261698e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.545656912291858420e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.863804158528762495e-02,1.000000000000000000e+00,4.000000000000000000e+00
7.436425967806995496e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.390160919403225614e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.068084256582761959e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.919881983470387743e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.030257666913942050e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.711150404334859987e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.134324123526661232e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.484259321274008392e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.584578173291577130e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.883236555903067821e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.000780154028864999e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.929999068596112810e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.189094722888526690e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.050657772396717649e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.822457966925348449e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.307319679901965959e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.995229039096120260e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.523420147811655245e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.679155569171086659e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.116072666933557000e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.039321129213696571e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.893271035144202363e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.113442042597211135e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.414851062322048270e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.227022295502991467e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.995561273593936646e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.352870867874848448e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.405805008896406916e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.099870198014406109e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.784175385906584088e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.622719330443537000e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.911091414152952028e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.293001570841158410e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.297493962474144391e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.607580566986883674e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.307103340370408817e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.919506485764657544e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.205682732277021829e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.240322158066809788e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.351169758429555223e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.192843582164009764e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.625359416230368059e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.850843444164847806e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.336161512489117298e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.064079117970740285e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.949897200447851864e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.195869666005717979e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.607105097040941954e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.574182641744911626e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.017813634385100086e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.584581278968407725e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.724330343743066041e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.148630774163576063e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.038636229103332309e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.739731559180599629e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.645530146773343638e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.266711602700484218e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.759052538944073929e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.874156355023122278e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.953799558265448044e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.842731908556525688e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.555367776772249577e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.740960165629467093e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.173063422187198501e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.263726005996437918e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.706980344703875829e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.749692578668757603e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.599012144125354418e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.229006015087233505e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.201427152739019094e-02,1.000000000000000000e+00,4.000000000000000000e+00
4.982930321065342505e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.205451522558175725e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.441629203571914486e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.737220684248449221e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.997535602309902014e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.364985555987211052e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.276219450317158666e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.657980648247044941e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.226569602661318203e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.785658972416120649e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.018511485772892966e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.346799430518127449e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.698143934112240627e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.653992324827903149e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.614028304122158808e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.376208472627016732e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.347406766381442633e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.551516931838850644e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.249005767676195422e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.479179626553723703e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.272069015427357064e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.019757241840869799e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.535004985516889686e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.197515093601484670e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.361485172279660649e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.832454959704270303e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.120083551886079221e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.157816046013047329e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.305150452411177608e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.431385225424300245e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.381835279465741140e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.650688879872263648e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.093659023690944920e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.829262623539395616e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.717526651950329886e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.241809361369762943e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.042764981589826112e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.355011887251530878e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.905772369643032649e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.606613646993342609e-02,5.000000000000000000e+00,2.000000000000000000e+00
-3.216675449491132044e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.749439108282660582e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.759903821694368986e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.818273319758223761e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.428826391539503859e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.035948486820127856e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.342898286064231783e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.376686129622553656e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.851865050621667841e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.328172175626698648e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.729161448888383745e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.423523336125465999e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.654253896946576985e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.463677473351635561e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.370274657692903464e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.528581663755522735e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.354366054500906191e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.234515761659374489e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.480141994436005026e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.017729014558089284e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.005671865091738004e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.484438576315183778e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.216472103769226154e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.884611953677038487e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.060484182391499441e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.090067354523995419e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.123624915548740777e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.504857141711162694e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.990733659748922912e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.606337034124612373e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.677568146725080589e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.598568545684866615e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.822919902065339270e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.738652154995407040e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.920839745388939201e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.050527307837732405e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.808662623636666966e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.568181129013706876e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.104816407288331082e-01,5.000000000000000000e+00,4.000000000000000000e+00
