f,c1,c2
1.652646096888225058e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.612018801669322210e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.763048169518928843e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.185738265629099564e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.884886582885580975e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.349971246796845659e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.164767161079028668e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.248584051703506947e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.433964530463840870e-02,5.000000000000000000e+00,4.000000000000000000e+00
3.292214084894078407e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.745988788110485412e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.504245655775084956e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.643346580516539479e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.948448152242251874e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.274786208541459631e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.694095103052069451e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.886648654568283900e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.239983449689621375e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.116290260016853386e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.232661163039120211e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.240594222367600530e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.745314326145356087e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.700020747757641448e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.202378551811504437e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.985486842402029772e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.000444153666964375e-02,5.000000000000000000e+00,2.000000000000000000e+00
-9.625737424933907826e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.705410986372251303e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.282053182834275162e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.497634036901185350e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.214848267856322162e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.737349663613065864e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.351685428371994568e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.933853720132099330e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.264312480874806965e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.777778527674424680e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.272560832207909609e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.877370895068423806e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.035535357946631541e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.954637090920281484e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.354986016768669366e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.703014296759201240e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.008385603541784192e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.464009775691398563e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.240579452611926925e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.275554931092887312e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.064927351705228675e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.917518487095762447e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.507545507932961604e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.793949361127674447e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.046493304475854202e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.557766552885912148e-02,5.000000000000000000e+00,4.000000000000000000e+00
2.008627917425636067e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.359109152158761713e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.841970867625494890e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.044694445623025159e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.421138182402955419e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.986012731870034465e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.489339551569555109e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.679360129326305628e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.111625597292932532e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.383110217193688873e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.176685191356026561e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.831710144892844117e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.836281155320518721e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.738375877800529601e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.151018455716809274e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.543274944083927513e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.129694224562393545e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.303804587809559212e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.243510681269916596e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.622947660392173752e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.038139294635254117e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.357754218031363980e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.565716351828126296e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.904050613155832572e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.951707281106574321e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.876956533898339607e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.377712567411208067e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.609208410729199290e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.001716574260976600e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.419617101496304823e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.918074630714022177e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.322425752825923784e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.115396753995075096e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.303283662381022445e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.110859993463150008e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.175915636430163502e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.577320700048345792e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.507414647548441788e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.337880498293543940e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.994951031563068966e-02,1.000000000000000000e+00,4.000000000000000000e+00
-6.717771674595063303e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.566404803620486952e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.074520574413265095e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.973693644191578223e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.117870079532471639e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.657340114317268576e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.724082632647808921e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.583449999013615273e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.083648962363856771e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.547366911562809033e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.150936560845623902e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.282839263259582641e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.150523696041561461e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.490177118284717439e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.172683241743923244e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.887875703618436596e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.952497971357936013e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.184541012668386406e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.846139254672562569e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.268207477932891347e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.640491873849782678e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.490128212377861416e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.072148608159459560e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.498933706617543216e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.515395977491942769e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.311694112443491100e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.997446482416827207e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.068612653329100937e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.821086640936305123e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.106679682586471092e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.126449089736894393e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.677442965976743139e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.582081826944646608e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.591776562592616351e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.158092780434386126e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.041391596807822228e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.336181967928669945e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.603077054928718326e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.283959356076134206e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.975305620326238021e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.513728099020876350e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.550305995751502630e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.029131717769356413e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.936357106236413550e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.271346350830373506e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.432823487384223826e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.179079206789191758e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.764138537378379556e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.403785031656533233e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.034208074676009170e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.317718598455946077e+00,1.000000000000000000e+00,4.000000000000000000e+00
