f,c1,c2
8.153812165846285875e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.251014054801496744e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.091247962247646752e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.048087849041589692e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.339289880118621490e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.325967519664975613e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.439026344985909311e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.455443253393508662e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.138015977849798688e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.416824598806794455e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.198491466137524109e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.239410053179587079e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.272181997637218176e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.110098620142787595e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.455200868642163359e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.274171704719000431e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.669064684196791992e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.484357949911047747e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.120812897979404532e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.344197107699657945e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.837790299883845346e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.757018643965330362e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.844794219634073862e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.952117169951329334e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.416503222773758175e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.082630034252843210e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.897813925501530052e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.927463371403562942e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.203556655038257261e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.100395287026785240e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.790142580684880302e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.487784881726303077e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.383877075192561090e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.808306440459686470e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.075657773699714159e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.826236957554168594e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.284962245850428841e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.496754259707814283e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.323764632280432396e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.041492945358562849e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.083413679549919628e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.863894084711700927e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.315442773233962193e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.637094639030405752e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.010442023955279822e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.086145831094928793e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.973673572863582137e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.905677365797431522e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.098615648816164914e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.595867703147227923e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.744188085375204089e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.895148055375947216e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.941230792515652670e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.715997745270848363e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.826009912406478364e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.455306897588029447e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.269220689498888888e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.133299988023107163e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.788611063729340422e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.900600468982457603e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.297649265293786769e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.064252783476240083e-02,5.000000000000000000e+00,4.000000000000000000e+00
-5.197066329696955478e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.282926335303260945e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.813934823548495112e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.758855894519229190e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.844225888195394791e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.983813811608808653e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.355885425929017174e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.305238180759654920e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.379666208747031275e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.837884456250068022e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.625096847180778958e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.547967012880473892e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.353544169788234663e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.661749539729012959e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.618010308174136824e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.905309947612908061e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.373754991444344320e-02,1.000000000000000000e+00,2.000000000000000000e+00
-3.656033522573326255e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.565409447655648378e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.487588563242758344e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.129311289728020640e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.418607215340662364e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.688959350507615031e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.661580835308861026e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.375472327520092630e+00,1.000000000000000000e+00,4.000000000000000000e+00
