f,c1,c2
-3.654661143504939758e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.456389570168785230e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.521137122895295013e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.358533204410915074e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.098833187705634540e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.208673106609554182e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.621866355613269750e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.819816637028130124e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.712541630304481755e-02,1.000000000000000000e+00,4.000000000000000000e+00
-6.120397336867458016e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.018003625140971646e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.290208641161419978e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.445477133183062035e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.099835440421498556e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.776089609397858871e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.027430558579287556e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.185832320823999142e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.321840299735922430e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.905893228718888111e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.975573418930957059e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.342393285854204921e-02,1.000000000000000000e+00,2.000000000000000000e+00
-8.287763831703728878e-02,1.000000000000000000e+00,4.000000000000000000e+00
-9.558267229745047722e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.974412054539333217e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.803493512301497015e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.776007041004923348e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.873206643761135826e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.189871947817051190e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.151442579437591318e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.281790682260628644e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.625816214807611626e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.827660844943574281e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.424802482831368788e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.585956320333461077e-03,5.000000000000000000e+00,4.000000000000000000e+00
-3.549408264783291966e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.630197139571241793e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.060884516415882217e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.927128855007419372e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.107579775594422777e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.491118475112924946e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.611130345782907147e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.743550957854943406e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.323682071331466314e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.011370772094842385e+00,1.000000000000000000e+00,2.000000000000000000e+00
