f,c1,c2
7.527440463656844827e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.167949806609384744e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.711499774186469480e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.977427871477552390e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.086891650404987031e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.539733532161791096e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.287035281096700512e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.009398004816728589e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.459034610125899301e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.926446268355190394e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.232041011343872894e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.443176708157063171e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.015348321202850457e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.084589647535439294e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.948129454251799952e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.309888544582938685e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.002515993991215382e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.846295792539979219e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.848405555963433144e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.873440535765554027e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.030460314611304051e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.069903221465722254e-03,1.000000000000000000e+00,4.000000000000000000e+00
8.334660046601319316e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.059597482657625322e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.740978010814508536e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.352639153332864552e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.503330954496643557e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.101180961884902221e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.516102361263699905e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.953481567717991751e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.147410795047651755e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.430167295284812790e-02,1.000000000000000000e+00,2.000000000000000000e+00
7.512351541737221083e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.064344899027065416e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.649046841260188412e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.726527384838995871e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.348664659932535148e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.123546591451048737e+00,5.000000000000000000e+00,4.000000000000000000e+00
