f,c1,c2
2.598941889155531371e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.354898225752059648e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.135888174785872895e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.075072408069964514e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.994625150414221171e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.847390958406085026e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.353924188326699696e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.223005787186209448e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.986962658478174548e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.170166477739215116e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.295417481178344321e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.442231650462052706e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.477553036563859390e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.047522356920371767e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.906388566904328563e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.757438020553990565e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.158224238945533280e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.070759929781646358e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.032072709785121667e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.313579815553955754e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.435860576644532038e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.618482118867948572e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.917027037995253425e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.927717771574431582e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.544928254048435257e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.983541137640125740e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.950931171834864752e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.811125433955432795e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.014529458534943362e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.872076582828437141e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.915385519455977903e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.272800753092985682e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.197711962467956415e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.718505800974928333e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.396080449709993232e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.422963922188422270e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.131601169327774992e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.216684101601013923e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.457303753911163513e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.260137550041253718e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.839927111919491098e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.843261192725298647e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.131658358354380889e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.836391621006136621e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.122202996092553473e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.256354770357836159e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.296130126174983577e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.763194677779182706e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.043516934040380928e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.580098170674953284e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.386736866793277123e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.642690981120647820e-02,5.000000000000000000e+00,2.000000000000000000e+00
8.692401379667236139e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.333032831916784122e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.822229384950326381e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.888249069508998623e-02,5.000000000000000000e+00,2.000000000000000000e+00
-5.623677138045442003e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.532331690357073839e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.242765574753057933e-01,5.000000000000000000e+00,4.000000000000000000e+00
