f,c1,c2
-3.684425219687791353e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.483735611451120033e-02,5.000000000000000000e+00,4.000000000000000000e+00
-3.173981691845245146e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.306069966439826868e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.475968505840102085e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.672039617572051329e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.132158250343763495e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.147207298067514980e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.163581085299421058e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.166472781547966964e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.841518105161120689e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.504772529714124285e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.673199081250592801e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.810464700518601866e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.498749228230343622e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.788687879551033033e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.534119058426613225e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.814520026636641248e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.334760646748455293e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.352899096435695309e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.137108340788963057e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.800599538163941804e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.030304080652390875e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.477908198852735833e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.136873573275036131e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.305161726208159290e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.882589013615764750e-02,5.000000000000000000e+00,4.000000000000000000e+00
4.343295172369714824e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.179195159979165991e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.103514599207487734e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.994824731290908648e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.874136867358667358e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.171228287360179587e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.881632629393355405e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.947168705975772074e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.386979658223936873e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.838326208134314077e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.582598688139856824e+00,5.000000000000000000e+00,4.000000000000000000e+00
