f,c1,c2
1.056937644960584954e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.825475008425814893e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.236501465025576119e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.330716109172475736e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.728247290061129871e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.393800789053363687e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.838879668630825304e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.887254788077604939e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.123286734146424326e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.278561127998289138e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.324064887959287784e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.577930322790834783e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.215389303908929186e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.717458405600108318e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.909660976141969169e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.088473264541575336e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.158641583514924633e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.151575865254153008e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.064184706908274158e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.412803448808213513e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.466037042974245974e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.681567362142411426e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.847534371079187610e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.594711767116895329e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.250479406932155868e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.678603349664649080e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.016535208018236158e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.032273043784168287e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.432767408677711740e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.349579610660210705e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.149332519107139960e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.026278291180874547e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.710148818322966946e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.651729708614470438e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.763210172566736844e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.664453245704836659e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.982748201363451201e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.048435095867414235e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.840416077401785699e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.691066591105752748e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.564196423421631010e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.273142324948961956e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.643233876076397149e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.742190457587179608e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.673896302111475887e+00,5.000000000000000000e+00,2.000000000000000000e+00
