f,c1,c2
1.645756674785576967e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.882086825204425384e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.235300800276477595e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.637480532730033467e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.671069435098557321e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.410770519156034020e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.056147076936041262e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.316741756415033215e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.581514430933820936e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.189254793217647599e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.429401259548905845e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.694413796741283562e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.192104441175931839e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.979908058496334000e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.565469070406182439e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.178598049214022447e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.403064346253938943e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.384241683767332143e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.927399010213275865e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.100528261048141498e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.491826034131806367e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.064376140627876333e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.322100306587610241e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.119251018049163715e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.039530252563832580e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.984655611304020795e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.514652673945678263e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.077565369042419618e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.170748553693112592e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.008885881619815628e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.321639028930764459e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.715067670701353242e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.464217828249756659e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.400993324235186854e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.470395974341140333e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.642094921861707579e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.297174705101619585e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.072361485011171345e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.838075075638085809e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.416725545117157870e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.991752821079402214e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.656748456880037024e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.813944829076014509e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.581549448911399036e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.074885892101860474e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.269272443646315862e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.387462266662945698e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.049457156863058627e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.492081367510866174e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.047170833703140680e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.824537058772405462e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.031489851956159720e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.159371234936532602e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.135799657620966574e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.520624190009338239e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.346231851212125186e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.676543851167246135e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.651431884351956314e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.402540103888991752e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.306205489135029651e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.014508571295871908e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.071163875752763728e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.021809429199256769e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.711149996807317830e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.329771154731905103e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.333660493899038180e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.388407709834470705e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.592022857190445784e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.103294494948571902e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.493211763228466715e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.923914690273700323e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.565196121167453658e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.533347616161381932e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.470393185128972213e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.282949297524438093e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.561312609291543696e-01,1.000000000000000000e+00,2.000000000000000000e+00
