f,c1,c2
-3.090587736879415459e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.530209838118532506e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.511024516701988674e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.237428631557421221e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.268435044619823593e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.397667890864624063e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.443765178994247389e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.986877750782523044e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.042332938686786115e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.834476640853010654e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.673788877983016565e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.608269907199926685e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.001631862237123194e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.044625549234363682e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.019843688505357004e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.229315227261128296e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.386881730664849544e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.339795427981629095e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.569788685264546402e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.454513764112634000e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.057481242506411512e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.135447612014639285e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.320147019477809991e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.848301390182202741e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.184925556561448268e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.987730285960096488e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.056589202635027647e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.449715334301113989e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.538063730752716296e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.990930630897669751e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.803089748739894915e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.075798796386679301e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.168224574148661876e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.882235940532787311e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.993700290301903655e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.089297567484851514e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.619520870409678626e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.054398763907584247e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.937271367402951583e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.899593751769811600e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.970867030060256653e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.660554222134868585e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.246398466323167309e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.986683272881566875e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.180931570184922119e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.164120953793607915e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.502372505677103565e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.938023481651968805e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.342988013099361111e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.744372882158818694e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.341548916492561361e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.301739252813042036e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.989397385974018384e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.910167525338298922e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.671257150407648551e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.651414310805535912e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.853133007128948906e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.064225906484486117e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.324383040599867556e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.296829352839598659e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.059722341921234490e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.010961634425707634e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.024364530231117509e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.802831941978594532e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.287486695554509675e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.630176760092542310e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.749337895637024687e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.258680897819794309e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.460964682705614415e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.339036576574089477e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.081553758482617145e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.742923352953843041e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.131775597659092192e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.459483529581277139e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.947604018605139986e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.862847802823397236e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.471836192955197076e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.244600602393604483e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.194719301447973336e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.590988448541296396e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.729959257629075431e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.166422753784181587e-02,1.000000000000000000e+00,4.000000000000000000e+00
5.539857801475022825e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.108288954616363231e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.167161660501456533e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.273451280577641231e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.711535953488499739e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.847637453689419562e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.956749574491212895e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.928545493013177348e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.818095014347618887e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.410111112783940079e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.539384034757135922e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.899775924373752645e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.834869945639098665e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.961264856716387062e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.279388956074900996e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.092142850537892951e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.328944797767567465e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.868516390060746879e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.504006102382606125e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.359115671328825312e-03,1.000000000000000000e+00,2.000000000000000000e+00
-3.057535489683118612e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.267017710973788347e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.509410633314070438e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.403622427213059076e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.425691479758935287e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.127864095361376995e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.483645192216541231e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.265584887133968328e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.389017191894020620e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.688667395720441666e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.484498981494750680e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.373726940026971377e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.683526059629780747e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.325996826873999224e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.608338071803848468e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.754789509342410625e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.765908373501678952e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.420071120633378037e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.110903502638998286e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.172709052680387443e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.295020362868989139e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.053809331548500428e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.534447326303815196e-02,1.000000000000000000e+00,4.000000000000000000e+00
3.140557828592519529e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.858323921226752162e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.269696599358496769e-03,1.000000000000000000e+00,4.000000000000000000e+00
-1.059730882955737030e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.397290540010991400e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.900711057880720034e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.635862042935135818e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.046932444606906154e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.635725514718189277e+00,5.000000000000000000e+00,2.000000000000000000e+00
