f,c1,c2
2.611159476758289077e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.292614250142037402e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.029638636220105763e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.912590991567937992e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.890099178372751210e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.024196746091138976e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.308377932977566049e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.606844925157164372e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.957793865585200424e-02,1.000000000000000000e+00,2.000000000000000000e+00
-8.561192730120723571e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.944075025952842317e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.672771235235241738e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.114039713559726197e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.050609656606067643e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.053222053211456816e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.596873921337232938e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.039589975954212875e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.336031982914728022e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.023744724611374696e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.894153452236953861e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.840351617124430517e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.610369612667176265e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.820955166187591345e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.975603160196968133e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.166162346132111782e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.181249318705469009e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.101324056890582881e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.382831498512700819e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.180317386170564253e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.336883185280868247e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.413113005009480116e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.436262840800210938e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.348292455880006013e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.876233458759398509e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.631936873407249022e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.368387080893981755e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.959032994379141579e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.297434556846919884e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.311834997864869790e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.688476325393842403e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.445702384719252276e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.512091893571367585e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.202387473371773874e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.347618814571341250e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.574830214335630085e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.493187367341743954e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.439147167979031305e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.668754251882774708e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.049640723235469419e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.869298051037479258e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.008404941356472628e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.525331128047417106e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.836020097456413813e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.075937543566490406e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.729543705949123433e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.925244062365086828e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.737614322304426473e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.861635639725769398e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.162026627747120733e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.567990516844930626e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.347686340611156330e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.472768012023608852e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.914709491043298573e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.694951283104391027e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.435709890822441492e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.446827612998659252e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.455109025739278472e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.524268954159019973e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.387521939091664991e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.275565866656323322e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.059764433940053152e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.990177963769547476e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.275971728499278035e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.087029074103930792e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.202925715506016402e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.988043832170476977e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.409953671906687411e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.344920982213873462e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.974835798523802755e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.217900066711815610e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.448000235019331450e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.715365653103489318e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.163170328841280465e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.023558688551484130e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.837483173367240097e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.185336937715396180e-03,1.000000000000000000e+00,4.000000000000000000e+00
2.625940675312757877e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.553409454724657135e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.256486419684339717e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.394854748334891648e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.248283193452260464e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.924512094627267356e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.343230993672110962e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.528902664748614915e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.089452130954189413e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.789166048130765407e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.641447496743197787e+00,1.000000000000000000e+00,2.000000000000000000e+00
