f,c1,c2
-1.273232550470783542e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.143199782958380206e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.213537518462385778e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.139272957503053352e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.876575933591278271e-03,5.000000000000000000e+00,2.000000000000000000e+00
-2.686747460132107301e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.151492311347157349e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.579486195127370637e-03,1.000000000000000000e+00,4.000000000000000000e+00
6.285266754132574907e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.963992737037666136e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.203479136367194391e-01,5.000000000000000000e+00,4.000000000000000000e+00
-8.926034336364911947e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.900991041253668357e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.872367351783603251e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.648860593707720756e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.164709241351714719e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.976642406290723741e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.108511313019653777e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.496981880320450320e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.270392322798457929e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.434086486673358030e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.914046948029168749e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.902247820207758622e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.848106393174514084e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.519319931468150031e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.367945578160889464e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.627972948127730246e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.715856703555865725e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.772726461910942408e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.742341206467024506e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.639358625323079188e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.258758760421085920e+00,5.000000000000000000e+00,4.000000000000000000e+00
