f,c1,c2
1.015417623673792846e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.343927969596620642e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.247332023749166741e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.400339510558776430e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.275630237702587766e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.906325955493040958e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.349411234503662849e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.290368746755504059e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.573734888706145307e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.447869667733417520e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.165116678282773988e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.217319020624663295e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.386778930110716734e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.064623404489169922e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.157115229342074336e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.468109799472684940e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.184578908548608700e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.330160564297467429e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.843739719577256686e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.717524697620199436e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.269147533754364010e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.701840021226726618e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.044673106926736648e-03,1.000000000000000000e+00,4.000000000000000000e+00
-1.675840031237139316e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.783583933067050431e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.691589564108904264e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.892671793966747534e-02,1.000000000000000000e+00,4.000000000000000000e+00
