f,c1,c2
1.574631783252112172e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.830698548497867506e-02,1.000000000000000000e+00,4.000000000000000000e+00
3.663906981163777665e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.852645951875394381e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.298273143052586898e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.858286191519266273e-02,1.000000000000000000e+00,2.000000000000000000e+00
-8.026013471305093461e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.202154292567097160e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.192525368495103155e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.653629056986193113e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.545108019039872049e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.343182566921613308e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.409019437650851608e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.036123297958851719e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.935155352760063341e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.444013657636967540e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.604716986193608808e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.016107047927250484e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.313414441484573203e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.471193652212726466e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.975662774860543536e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.408128890993629589e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.901594441224446541e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.294101625149508994e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.370204983329760484e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.213613157553342647e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.504823969731361899e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.688976150372438756e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.661980570918904609e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.068532362447488060e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.102462828159439745e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.248291780933686423e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.657750348120830622e-02,1.000000000000000000e+00,2.000000000000000000e+00
-7.880027128661797053e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.815108089430724547e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.474331524503727842e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.927867191850902495e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.068528222959573615e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.186436326988238088e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.267954905619401051e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.051229084054429830e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.217653709889859437e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.048253106791599665e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.154309601306890976e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.067416168257790066e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.389648855610506051e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.937256783839938823e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.077670469114023533e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.800039988689843051e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.134194242473253178e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.526687287306539353e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.820233072165351462e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.868520718122395730e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.435967234072314191e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.622705869446730231e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.765121793246708926e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.183825918823565360e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.734266613783867594e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.094744883741227042e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.894457462596631947e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.934649293187590047e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.394577596026364663e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.950366033689164169e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.141217436090230297e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.132232745035312904e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.016580667917585057e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.078940763578574380e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.070689514332935799e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.205266386960207603e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.380914860541404110e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.756879076651210791e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.216310027871152277e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.692371589867332382e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.962756195177127516e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.200729563821975265e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.604578120047818413e-01,5.000000000000000000e+00,4.000000000000000000e+00
