f,c1,c2
3.604734639112299188e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.708545089241981785e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.128410151210210710e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.048427314473145966e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.871163892431308540e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.184737000678553365e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.180869967901378104e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.830228349349448780e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.788674502224576246e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.059266030785552370e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.034379207076509211e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.046211705257487079e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.092495612261119575e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.678351054260708075e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.152848384848858654e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.731152308244926719e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.160985516059306999e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.013827272855501782e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.877589703427166468e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.232139240982227379e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.342594540956266957e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.108978439037091146e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.671603724276143899e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.333178269660943549e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.845636827409359970e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.125092715937016763e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.145139599559723997e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.905140408181581257e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.188061099352414551e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.729859505247758111e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.970934438881916800e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.387230654954056064e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.525916749852398446e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.743116394316797990e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.935550071686770401e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.702986143609251490e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.043617006062597996e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.212837062036396019e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.154486444366819575e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.620186686489790251e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.892555984546516523e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.063320153635019416e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.146815546818950454e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.414130675825939543e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.667965015569734644e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.761929839233150830e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.318988968188033351e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.293881819913106523e-03,1.000000000000000000e+00,2.000000000000000000e+00
1.515541760006876792e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.152070979694540309e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.772586628635833161e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.548132873627982686e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.354029057297179151e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.983026557392701950e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.309574922376520512e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.595991956872383932e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.368896895845371109e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.215104663913376903e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.463709471139392093e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.048783452331067512e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.505472362746797188e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.120613924845740517e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.349713895928219998e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.542311219466690364e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.367602520690075485e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.148912111625134291e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.196481639635376126e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.824324855809342505e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.668272870088502335e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.521900902923034149e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.147248626766474544e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.636097870103584651e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.511097051799769941e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.911677272087012436e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.139072551367932951e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.998645469159069821e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.173679171378713804e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.412316198063807038e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.925231118770447614e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.320666325914966244e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.632183643997454858e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.040043516481157448e+00,1.000000000000000000e+00,4.000000000000000000e+00
-7.534318215152818743e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.097607504166728587e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.932031492625853608e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.237276810546486860e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.194746778666762932e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.427566733384150854e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.015376672228234911e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.194606775931445597e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.922187736481376863e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.597088288152163527e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.144389405024190065e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.613626004093769106e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.604537364195321114e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.456820043514756247e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.475587042275849914e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.943488003098935213e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.627107994747629682e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.719629356162657885e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.208898230436388666e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.160264573695694024e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.239084968348734384e+00,1.000000000000000000e+00,4.000000000000000000e+00
