f,c1,c2
6.152448123418536863e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.949197280408184518e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.395724424280282649e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.568342727982933171e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.716612063799282550e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.002900328163418564e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.908407763732105300e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.728070913245406626e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.568012298482968969e-01,1.000000000000000000e+00,4.000000000000000000e+00
8.513510338811713929e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.055319820593449559e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.723651447212186660e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.563887708048614655e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.787100637671776293e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.003912359647742836e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.905370762167187371e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.532116950402745204e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.863989648617224604e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.459610214370798076e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.612681441019607309e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.426839419979128998e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.424090719264497817e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.717733076839143835e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.972665546320331975e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.191191166109295541e+00,5.000000000000000000e+00,2.000000000000000000e+00
-7.703534826918759792e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.654839086194729789e-02,1.000000000000000000e+00,2.000000000000000000e+00
5.034907443968366092e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.807769028515354925e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.003849315557619137e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.487227290122677736e-02,1.000000000000000000e+00,4.000000000000000000e+00
-6.402090854836232081e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.578939940430249322e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.835882691239161146e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.301209235343129489e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.228853879442345365e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.623858436779190617e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.791523752958414706e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.692331421897530053e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.503506342817621300e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.199508224014653957e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.579289408140581719e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.476360076206304051e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.196542016693114441e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.319385980273277470e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.652291250636343189e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.980954473763925083e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.559187537197730400e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.937737955076376917e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.330539413385567915e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.442411427525792877e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.744727315624620800e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.531943706293327878e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.015166670273277560e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.824751908357492569e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.938586917211417404e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.466939327470856647e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.395817133766029450e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.579569449017478089e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.190274643157366530e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.556819250382600828e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.362963745214651023e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.728308975223298294e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.083510131666535092e-01,1.000000000000000000e+00,2.000000000000000000e+00
