f,c1,c2
3.571243847059189513e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.283481348896904406e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.432642693910182174e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.260680880695808748e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.505444610644734171e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.324262874651686683e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.230576239004135264e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.077729276484210991e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.259011637322277721e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.122418839009120872e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.270640231065572667e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.134732162319698812e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.960701566979132671e-02,5.000000000000000000e+00,4.000000000000000000e+00
2.576392199780220271e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.206695943731346587e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.535539236151278519e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.245816722657638653e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.861831387675443428e-02,1.000000000000000000e+00,2.000000000000000000e+00
-8.468036970609926772e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.993945033197279559e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.184959956120891833e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.949979708632009645e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.196805382364094283e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.575698716079276807e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.128031299464843595e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.723595265560914913e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.073360524086276802e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.920645020558932159e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.378645760937657672e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.641367304814567496e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.439105691727622816e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.109409081047723483e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.729989859308244338e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.464572039841195716e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.849321396106760496e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.000161530529249942e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.585758720054041282e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.723114273138970143e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.811106211461682880e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.145654875293528940e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.742379448004386822e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.721544792722897288e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.498794426783811806e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.884585715015020924e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.621241846149952259e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.844767055162261915e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.039135609140733774e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.512523034312297954e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.594528652021013460e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.370510297029944979e+00,5.000000000000000000e+00,2.000000000000000000e+00
9.711210841260708992e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.879192943795812420e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.709264368788071531e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.646311640728969905e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.430556697622017537e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.233956464452505564e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.040393808346468774e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.448623280239793421e-02,5.000000000000000000e+00,4.000000000000000000e+00
-2.239602012687792187e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.666992172948061679e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.634988220346331289e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.756732496227831453e-02,5.000000000000000000e+00,4.000000000000000000e+00
-3.071576257300366875e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.402011116795627288e+00,1.000000000000000000e+00,4.000000000000000000e+00
-4.612375283329565590e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.383232304727226358e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.821858270984273165e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.825281686479758414e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.355017416508597528e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.605484642884549402e-03,5.000000000000000000e+00,4.000000000000000000e+00
-3.823264360626500435e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.388263171818914454e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.292360924619067042e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.613102823921086504e-01,1.000000000000000000e+00,2.000000000000000000e+00
