f,c1,c2
2.337620593848037942e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.205252701426503648e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.930660082724628190e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.686748738873635745e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.655627712064126733e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.859315959789444306e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.023088975009160073e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.633931441869337364e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.054428076878544340e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.076595365256489578e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.550154301823399028e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.017762783595089648e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.200391746041780255e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.850807096134446050e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.027484225640054261e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.134520291035262946e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.164804813808703043e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.923341556395021579e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.025331029114163073e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.638423966215975192e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.353553818870519732e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.111962659124558161e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.108840537014586625e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.608502768310481612e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.936505788985865839e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.803900265577818240e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.713728829762279915e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.560129568739871297e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.029351725643621984e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.389426402713551945e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.488044564014024962e+00,5.000000000000000000e+00,2.000000000000000000e+00
-6.672453985251269870e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.025331813738122433e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.386303467820936386e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.814563934612177909e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.232507975805427813e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.545952142060021073e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.540940292148169632e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.399989038601813507e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.509972072523987130e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.719903208301874820e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.815887368470197494e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.452160324211046571e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.276990871930345550e-02,1.000000000000000000e+00,4.000000000000000000e+00
8.222652697912435915e-01,5.000000000000000000e+00,4.000000000000000000e+00
