f,c1,c2
2.119021576178660160e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.305439029046988414e-02,5.000000000000000000e+00,2.000000000000000000e+00
5.440592524648896200e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.115232383252925397e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.098835960519074506e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.357686207158352643e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.806151332551565458e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.722958527204224266e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.635800023598763864e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.362727612927446930e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.679381962386936378e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.684416392304834753e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.720868382517894757e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.768476693544136502e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.987354511600947116e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.474354742262897755e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.775346265094108533e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.498766792342092868e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.480734215007998955e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.265028981727793322e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.438998315608735201e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.958165920284983708e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.049384709789227321e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.042933433936644838e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.200121851045805821e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.923719706332159607e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.838666892924738505e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.245753667920810992e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.431563407061905657e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.332430464763478595e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.686093404503176463e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.002103271467283507e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.233216727069053276e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.339501389454696545e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.290079291254344562e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.232586357155567081e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.275129597946783155e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.070241940213659815e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.429083276026906768e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.543723164980627782e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.671810878069337925e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.089909051073988389e-01,5.000000000000000000e+00,4.000000000000000000e+00
7.282567895301897964e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.654855593645200074e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.899996979743707737e-01,1.000000000000000000e+00,2.000000000000000000e+00
9.720591463337185933e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.916422133838317776e-02,5.000000000000000000e+00,4.000000000000000000e+00
3.451311001050144101e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.221681495480034352e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.197257358225808588e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.922586987122634192e-03,1.000000000000000000e+00,2.000000000000000000e+00
-1.085508291138091774e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.610326403950783192e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.009602912844315803e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.153999024604824619e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.247200966407743916e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.478671424045305161e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.085064520942042643e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.691474994387942021e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.031265825165726735e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.165070163381697471e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.607759784829069449e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.870569371383653479e-02,1.000000000000000000e+00,2.000000000000000000e+00
3.889218108130382823e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.316538816085268015e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.236813186320454616e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.774109372292831277e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.351805941118001009e+00,1.000000000000000000e+00,4.000000000000000000e+00
