f,c1,c2
1.407695373553114138e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.109668613548167926e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.055024095417781194e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.044170445368868494e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.535975109224116064e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.103545431338790905e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.364190631517930630e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.111880440648707502e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.921897689871423065e-01,5.000000000000000000e+00,2.000000000000000000e+00
7.798306901993549145e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.979475031015858200e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.821357281896675229e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.405461822912386527e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.054225677643424230e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.264441072344170580e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.939558336753494761e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.825001139081444013e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.970459798257176209e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.118533863871746803e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.378385718917709335e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.844842227426063630e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.431590109215681306e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.948006945605349705e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.212634667002536304e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.591022675260836738e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.169248620387002724e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.870703790505977127e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.405540161545312916e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.833157226792709427e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.756605775934629854e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.022690948020672730e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.461651525276486119e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.015584087610485131e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.129818764092098693e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.414544193515150372e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.166426264459733186e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.979569786247260321e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.483007150180721823e+00,5.000000000000000000e+00,4.000000000000000000e+00
-9.210237864092477578e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.894258599222027328e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.636119431816603464e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.606810590750729517e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.967993551841554334e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.129649593261514484e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.248218606505660577e-01,1.000000000000000000e+00,2.000000000000000000e+00
