f,c1,c2
7.413712563737346883e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.516029494744598916e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.819658917413734533e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.130106328938095483e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.462995906040888805e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.320553316480217010e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.619650858124946247e-02,5.000000000000000000e+00,2.000000000000000000e+00
7.045148180620731893e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.062755161390364300e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.462462023371463360e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.760459071901623540e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.577021844116462956e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.029775531487550078e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.794775540412279824e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.215493692746708598e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.072300085786351165e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.585120187052423191e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.729605314924222315e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.881575839264739258e+00,5.000000000000000000e+00,2.000000000000000000e+00
8.769832922092716254e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.671246240119578896e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.829423061897531677e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.196462331245356170e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.615308978647719940e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.031120271490788998e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.320415493473839019e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.190378125286461142e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.070020395573068717e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.090648954364334955e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.096740094742853167e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.462430529037677340e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.508456533884696249e-02,5.000000000000000000e+00,2.000000000000000000e+00
