f,c1,c2
1.293246422098499382e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.279456798578097132e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.698913650064509451e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.312953634321126550e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.052528194714261511e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.371023503330529580e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.553104703026033206e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.894626706968083329e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.620766517817266550e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.187297369691388882e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.952934703485247780e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.777737025521022307e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.877475445140105670e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.239519594430308125e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.330506211616634182e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.066952320937371912e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.290436666764221529e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.372656463281304973e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.258694742795836818e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.345969258169239735e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.635557228311139255e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.797120202582278115e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.948228624825748323e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.367123417548674114e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.476293571316291686e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.881744049511796968e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.176795128982853100e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.848207882004498259e+00,1.000000000000000000e+00,2.000000000000000000e+00
-7.145768354493985397e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.728106277803538759e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.068260969796660742e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.161164267556968888e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.140697753515361290e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.555006022957805767e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.275929390204781910e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.960246984674263171e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.741309648418018163e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.218661304793558386e-02,5.000000000000000000e+00,4.000000000000000000e+00
8.195741125251508885e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.742355034125691704e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.430864033315825790e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.714362023913844180e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.843096387882574683e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.228093829414747651e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.545985688621440701e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.682967033423483916e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.148385052933702966e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.557323779451128543e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.583713287476477660e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.810078435701258925e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.624128546844643806e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.301803882523651534e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.223040571103880259e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.146543582534402139e+00,5.000000000000000000e+00,4.000000000000000000e+00
