f,c1,c2
3.945160976523263141e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.091887512738560551e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.352048289245883828e+00,1.000000000000000000e+00,2.000000000000000000e+00
-4.281714841678138095e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.448536929990840605e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.224031083760190874e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.938414297569319267e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.358778229280234839e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.105478048660833323e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.741922376871776645e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.841764732974565888e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.537635342324116250e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.069072593079005706e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.483069993297755573e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.486399456781197337e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.430702163655991788e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.052054035909923968e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.011851435352004280e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.851313487616243147e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.398062585391149248e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.234091834242783792e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.702905547278278142e-01,5.000000000000000000e+00,4.000000000000000000e+00
9.903176061172276334e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.427037143052940937e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.830710897220261923e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.383198088071007081e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.907984158743454728e+00,1.000000000000000000e+00,4.000000000000000000e+00
9.685647085078120666e-01,1.000000000000000000e+00,2.000000000000000000e+00
-2.716019290704016598e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.055300881892681453e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.121441931356200516e-01,1.000000000000000000e+00,4.000000000000000000e+00
-3.527688696582409467e-02,5.000000000000000000e+00,4.000000000000000000e+00
-1.976901005040343051e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.640283981252685930e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.300063091948605365e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.225200792768140090e+00,5.000000000000000000e+00,4.000000000000000000e+00
-8.048211981613886401e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.894927671793533719e-02,5.000000000000000000e+00,2.000000000000000000e+00
-2.750880326272002740e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.066401187494445679e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.805306891557778126e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.855289433194148963e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.467756252609979661e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.969349289310962092e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.825412136542761132e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.951804076277548594e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.393147686885259695e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.869461729561706420e-02,5.000000000000000000e+00,4.000000000000000000e+00
1.665656045657146755e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.132942806508954181e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.178808197883352449e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.145532635597858562e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.930391497712065529e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.666257705421701818e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.217645610312930060e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.736318657762823126e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.486426461225620166e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.744933876366591363e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.130977444479016381e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.107422935877269365e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.947461506890845850e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.194777977365245825e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.775896947145178650e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.899009578720296076e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.369580173983046656e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.111409700818372759e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.805713883167683997e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.137463988447665386e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.748055884392958337e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.193234635913542618e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.424771565004577134e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.320635868056862172e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.617120197573677753e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.052223983559299247e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.846663266516887614e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.657066389428611730e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.657113020553442784e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.127608152710331435e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.729969544763653166e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.756158774321291194e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.540953134730989937e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.850852777884822054e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.096359040938222673e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.512227388915523996e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.456574366732409365e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.162630804702429188e+00,5.000000000000000000e+00,4.000000000000000000e+00
3.578443788166015826e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.202086813031488344e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.152992495305419141e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.137872751515984548e-01,5.000000000000000000e+00,4.000000000000000000e+00
-6.966826146583824375e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.990457041890359990e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.207760619116931222e+00,5.000000000000000000e+00,4.000000000000000000e+00
-5.440562437290180631e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.158028818518691772e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.212164701468767980e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.791677842004769206e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.378871408262357434e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.629048855129737738e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.035000019338669475e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.151068146180737717e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.776609390123250920e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.619158914116810344e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.746825609005762336e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.340538697135301494e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.278311274869829761e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.332329676238881655e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.703794435108067606e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.116520612888736608e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.758935258471235441e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.260047452830567405e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.096514202407823824e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.766392243304933718e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.865841274997683819e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.572680754650698898e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.599101029061858359e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.959729628567771664e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.823167071508723147e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.702298090035294642e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.251185705902750023e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.699449044408443354e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.293098160391509044e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.633092836142661319e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.703332048292032219e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.319432905983592308e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.251340529166314219e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.131586243263646985e+00,5.000000000000000000e+00,2.000000000000000000e+00
