f,c1,c2
-1.171197727132258955e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.333763199322633097e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.202620309504404794e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.049859795882154945e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.510593815103223880e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.706239218712045869e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.588465889674938403e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.074992800504933399e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.955113457980950820e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.853632320055753624e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.746631906956604308e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.533432843883995922e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.409589784718910721e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.919694891504456491e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.564801675830857830e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.069934298320163180e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.941896813564598867e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.130909334241244846e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.029570354374146568e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.348525167855786577e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.307781916378521814e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.379089193517737844e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.744131887862539809e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.205121492783631343e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.914884657102794208e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.822841559164949388e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.725030595710405290e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.123392957629824052e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.894033505774856518e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.859294869244798143e+00,5.000000000000000000e+00,2.000000000000000000e+00
