f,c1,c2
-7.262404447593719947e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.839011267161039243e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.490355454931294066e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.946102147333084842e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.581805922664241804e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.605934194077591970e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.106770861159667774e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.602634983416917125e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.192064553237717650e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.033201309393581457e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.476635778760980955e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.553804917323274193e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.157799452154384845e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.194211819741324954e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.325200039540275210e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.073770586539625899e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.013572294402914409e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.314872140239204956e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.744952159817099280e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.331304316394350984e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.224793920948454184e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.579751110500096090e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.163996346252166580e-02,5.000000000000000000e+00,2.000000000000000000e+00
9.470797465307793095e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.359432653245868927e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.105903616278317680e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.723961795641792749e-02,1.000000000000000000e+00,4.000000000000000000e+00
-4.754259681775561130e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.590758408650401412e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.458991029647324744e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.103108577298107629e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.185497424532066635e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.567605511825284514e+00,5.000000000000000000e+00,2.000000000000000000e+00
-8.658914352819817584e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.296242021038467418e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.580318577561284243e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.101694959323914924e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.399958526960276561e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.532275295928600789e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.161087540534665591e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.005688207968973957e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.091824250642222216e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.585093743443666492e-01,5.000000000000000000e+00,4.000000000000000000e+00
-5.111100636753898030e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.523056715058908495e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.361685439890668814e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.790575719000126576e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.436470065821387143e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.204854007674189820e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.693297465728798912e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.965863445080127558e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.386694013500921030e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.146383038696123791e+00,1.000000000000000000e+00,4.000000000000000000e+00
-3.773265419206131566e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.796142989179647764e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.056978645716345921e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.151632178311783772e+00,5.000000000000000000e+00,4.000000000000000000e+00
-2.727410848548000866e-01,5.000000000000000000e+00,4.000000000000000000e+00
-2.384106516849139878e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.946767496743892045e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.055222624030902612e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.054323582546163651e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.441466579290525907e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.119635297434503352e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.183236101312554772e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.926892587844558913e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.220305029533563346e-01,5.000000000000000000e+00,4.000000000000000000e+00
4.387174270850974223e-01,5.000000000000000000e+00,4.000000000000000000e+00
3.613753243858097264e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.129204550916171473e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.068078911157264027e-01,5.000000000000000000e+00,2.000000000000000000e+00
8.139787111020980737e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.031823662322079116e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.875803602385661684e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.581608174555028556e-02,1.000000000000000000e+00,2.000000000000000000e+00
1.261771124953160017e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.837328304589810224e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.391709499139468287e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.694142025501113036e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.908284626110273718e+00,5.000000000000000000e+00,2.000000000000000000e+00
-4.944273687763896946e-02,5.000000000000000000e+00,4.000000000000000000e+00
-8.525897993941476960e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.357922956645680523e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.815186372743597121e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.855441418005072396e-01,5.000000000000000000e+00,4.000000000000000000e+00
6.586180960734462353e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.763517657288957985e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.719848740894677430e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.458587589531177953e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.307398845509077923e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.019655133866304242e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.158385697726065144e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.564399404240749192e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.162491403371333609e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.086672012559985134e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.312458439030218249e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.308006173352851520e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.132413848140790602e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.068197182953227298e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.158721898838321440e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.008163323158488445e-02,5.000000000000000000e+00,2.000000000000000000e+00
8.123059877357727832e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.648029122669962598e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.240263728290638134e+00,5.000000000000000000e+00,4.000000000000000000e+00
9.739698387347478503e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.501683554840868851e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.450549452081011825e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.184572457236895193e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.811448347802607328e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.455054547254686081e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.929569685681045366e+00,5.000000000000000000e+00,4.000000000000000000e+00
-4.830729239698683397e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.558581737762514852e-01,5.000000000000000000e+00,4.000000000000000000e+00
8.567873337029797698e-01,5.000000000000000000e+00,4.000000000000000000e+00
-7.909398508282210472e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.615157280408288321e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.131019282089365419e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.019775209180123071e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.626380102166045560e-01,5.000000000000000000e+00,4.000000000000000000e+00
5.228948209305948058e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.601499305233566872e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.759752420860390298e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.154168412430232271e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.300730802288009080e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.289691372701189831e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.996131112513139572e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.802944747252033464e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.140833045770359003e-02,1.000000000000000000e+00,2.000000000000000000e+00
8.219637144196778600e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.052890234232873756e-01,1.000000000000000000e+00,4.000000000000000000e+00
-6.076703279848878481e-01,5.000000000000000000e+00,2.000000000000000000e+00
3.059789313385275489e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.244022553366580075e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.003991913893967247e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.452155036462372539e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.969260766340902191e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.389737852025172860e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.341689648434632787e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.339946049666025818e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.180415621332637999e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.274243858733292933e+00,5.000000000000000000e+00,2.000000000000000000e+00
-3.865008529422959693e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.091938016029888825e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.109620659133564030e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.492874606368548518e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.656979733424852830e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.290559745818241399e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.458680336366949881e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.149221751118713275e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.231706976828185862e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.454927937720527975e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.854857997063442676e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.307570321494365695e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.372768777036432741e+00,1.000000000000000000e+00,4.000000000000000000e+00
-9.997969816816585364e-01,1.000000000000000000e+00,4.000000000000000000e+00
9.020859783132524345e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.214874466349006976e-01,5.000000000000000000e+00,2.000000000000000000e+00
6.322173325057680593e-01,5.000000000000000000e+00,4.000000000000000000e+00
-4.972832058351658313e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.766151998268995049e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.733569382999761266e-01,1.000000000000000000e+00,4.000000000000000000e+00
-2.420710988251378870e-02,5.000000000000000000e+00,4.000000000000000000e+00
8.256700193358229578e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.720748102908619792e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.902050112878282684e-01,5.000000000000000000e+00,2.000000000000000000e+00
-7.580842033871057484e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.595038596232067396e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.918832277794995322e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.834648158180731459e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.386924760543004648e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.784376215364994245e+00,1.000000000000000000e+00,2.000000000000000000e+00
-1.905656730865468163e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.041518963102710416e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.052292753623501498e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.933229210519890384e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.663377742972281359e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.872616878542764152e+00,1.000000000000000000e+00,2.000000000000000000e+00
-2.831176320361331600e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.927149656572279213e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.617224958463636897e+00,1.000000000000000000e+00,2.000000000000000000e+00
