f,c1,c2
7.154435324897567838e-03,1.000000000000000000e+00,4.000000000000000000e+00
1.032611706639297022e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.503335821773549741e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.530848241700479839e-01,5.000000000000000000e+00,2.000000000000000000e+00
-1.859550068657407351e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.463082537436309005e+00,1.000000000000000000e+00,2.000000000000000000e+00
-3.446384744548072199e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.308274256802803848e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.013347940385387780e+00,1.000000000000000000e+00,4.000000000000000000e+00
6.096211586274666860e-01,1.000000000000000000e+00,4.000000000000000000e+00
6.865913825829942141e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.296711701865217670e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.674399801699347101e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.593673220745523089e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.257019357264852033e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.255648751450133549e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.210103946179530432e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.015166764045868586e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.235860456428074572e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.948813810613958253e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.259316118068669166e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.827852595741083386e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.664731325409475993e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.595999010913968119e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.546981123471812936e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.699571996580101274e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.479535801353299984e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.384728143730918681e-02,1.000000000000000000e+00,4.000000000000000000e+00
2.322638865332815883e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.394259276329987252e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.725217042524091138e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.328300841556640410e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.215649530299867997e-02,5.000000000000000000e+00,2.000000000000000000e+00
2.254501426749793147e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.496188866292404107e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.537990846429742486e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.134640822135507765e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.733324756122769816e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.360878402872172543e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.029631649262881865e+00,5.000000000000000000e+00,4.000000000000000000e+00
-7.565116184707654234e-02,1.000000000000000000e+00,4.000000000000000000e+00
5.057273697417737912e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.703692364160817069e-02,1.000000000000000000e+00,2.000000000000000000e+00
-1.681345723956598759e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.398366512084188829e-01,1.000000000000000000e+00,4.000000000000000000e+00
7.341504691105573244e+00,5.000000000000000000e+00,4.000000000000000000e+00
-3.341697025206729621e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.876230131794353384e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.640583397423599710e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.130975443867113128e-02,5.000000000000000000e+00,2.000000000000000000e+00
6.930928746942292662e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.822728488713970751e+00,5.000000000000000000e+00,2.000000000000000000e+00
4.379811794909374001e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.202238691800720849e-01,5.000000000000000000e+00,2.000000000000000000e+00
4.933121996006457621e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.171681972547453654e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.752037828471873393e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.775956555945446880e-02,5.000000000000000000e+00,2.000000000000000000e+00
1.380056729276313066e+00,1.000000000000000000e+00,4.000000000000000000e+00
