f,c1,c2
2.076941306882928995e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.984753089382894409e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.632997326561033802e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.230169098293012686e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.005279043003345585e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.877200583342462092e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.657787849773257882e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.173894366077655960e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.795755237385238345e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.769838214171286506e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.610816612995550789e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.258960832755925185e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.967822195614727487e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.563316713983350370e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.042183667318091089e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.216488753199791883e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.767271649642647491e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.341357489396919789e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.391651461206366069e-01,1.000000000000000000e+00,2.000000000000000000e+00
4.722792775102979679e-02,1.000000000000000000e+00,4.000000000000000000e+00
-2.883965867285283036e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.221469815097000478e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.940678992797992164e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.252658888583479735e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.051503990269542221e+00,5.000000000000000000e+00,4.000000000000000000e+00
7.967260888000904373e-02,1.000000000000000000e+00,2.000000000000000000e+00
-9.764828440470552096e-03,1.000000000000000000e+00,4.000000000000000000e+00
-8.149757990340988911e-01,5.000000000000000000e+00,4.000000000000000000e+00
-9.666912177252422467e-01,1.000000000000000000e+00,2.000000000000000000e+00
-9.939891032660175263e-02,1.000000000000000000e+00,4.000000000000000000e+00
9.323834130586015068e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.509429512124896844e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.331144377998828343e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.033236549591582509e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.462947342477555868e+00,5.000000000000000000e+00,4.000000000000000000e+00
4.892574602115595805e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.027492753158342875e+00,1.000000000000000000e+00,4.000000000000000000e+00
8.336201019462505801e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.867782741732697538e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.754082630557005196e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.167669158582099298e+00,1.000000000000000000e+00,2.000000000000000000e+00
-5.488887725034092835e-01,1.000000000000000000e+00,2.000000000000000000e+00
7.528539176065420779e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.093695747846679778e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.393266938207579297e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.068792329464440138e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.203789607037082376e+00,5.000000000000000000e+00,4.000000000000000000e+00
