f,c1,c2
1.134846011569931479e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.560297493037440475e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.202943636418748463e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.421783497587155054e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.938772241654750816e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.628282624332886286e+00,5.000000000000000000e+00,4.000000000000000000e+00
1.069214238142128348e+00,5.000000000000000000e+00,2.000000000000000000e+00
6.344697017218361434e-01,1.000000000000000000e+00,4.000000000000000000e+00
5.337234143897314098e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.965464292068924923e-01,5.000000000000000000e+00,2.000000000000000000e+00
9.893287028163344488e-01,1.000000000000000000e+00,4.000000000000000000e+00
2.144136023728622664e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.374284263326346123e+00,1.000000000000000000e+00,2.000000000000000000e+00
-6.998409493116681812e-01,5.000000000000000000e+00,2.000000000000000000e+00
-4.961070996314609349e-01,1.000000000000000000e+00,2.000000000000000000e+00
5.478193908679555024e-01,1.000000000000000000e+00,4.000000000000000000e+00
-7.372612564453766559e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.182054709610905974e-02,5.000000000000000000e+00,2.000000000000000000e+00
-1.035886405097335317e+00,1.000000000000000000e+00,4.000000000000000000e+00
1.065706583438659205e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.054358654334375922e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.000391617192819105e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.714534500334997436e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.197377853866189668e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.408971414189626792e+00,1.000000000000000000e+00,4.000000000000000000e+00
3.646749936599049224e+00,5.000000000000000000e+00,2.000000000000000000e+00
5.494337834467120096e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.505469930062627526e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.943533213736289289e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.077338691070700127e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.954771350685216902e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.037025923486196044e+00,5.000000000000000000e+00,2.000000000000000000e+00
3.283843816951878214e+00,5.000000000000000000e+00,2.000000000000000000e+00
